colony_number,block,treatment,triad,location,latitude,longitude,,
51,1,sivanto,1,M,51.423587,-0.567004,,
7,1,sivanto,2,WA,51.423986,-0.563426,,
34,1,control,1,M,51.423804,-0.567196,,
17,1,flup,2,WA,51.423991,-0.563151,,
117,1,flup,3,BA,51.426998,-0.561315,,
8,1,control,2,WA,51.423975,-0.563546,,
185,1,control,3,BA,51.426969,-0.561490,,
57,1,flup,1,M,51.423758,-0.566717,,
12,1,sivanto,3,BA,51.426974,-0.560990,,
171,1,sivanto,4,BG,51.429124,-0.562752,,
177,1,flup,4,BG,51.429167,-0.562517,,
116,1,control,4,BG,51.429192,-0.562188,,
,,,,,,,,
96,2,control,5,BG,51.429010,-0.562914,,
76,2,sivanto,5,BG,51.429064,-0.563505,,
46,2,flup,5,BG,51.429074,-0.563183,,
104,2,sivanto,6,M,51.423597,-0.567764,,
87,2,control,6,M,51.423677,-0.567531,,
33,2,control,7,WA,51.425044,-0.564271,,
170,2,flup,7,WA,51.424803,-0.564248,,
119,2,flup,8,BA,51.426945,-0.560753,,
124,2,flup,6,M,51.423706,-0.567408,,
131,2,control,8,BA,51.426798,-0.560952,,
127,2,sivanto,7,WA,51.425021,-0.564368,,
143,2,sivanto,8,BA,51.426917,-0.560640,,
,,,,,,,,
198,3,flup,12,WA,51.424522,-0.563482,,
83,3,sivanto,11,M,51.423573,-0.567784,,
159,3,sivanto,10,BG,51.429035,-0.563664,,
77,3,flup,11,M,51.423499,-0.568139,,
105,3,control,9,BA,51.426775,-0.560534,,
181,3,flup,9,BA,51.426540,-0.560119,,
72,3,control,12,WA,51.424410,-0.563240,,
197,3,sivanto,9,BA,51.426736,-0.560287,,
174,3,sivanto,12,WA,51.424502,-0.563220,,
203,3,control,11,M,51.423636,-0.568283,,
123,3,flup,10,BG,51.429056,-0.563845,,
4,3,control,10,BG,51.429036,-0.563991,,
,,,,,,,,
42,4,sivanto,13,WA,51.425048,-0.564139,,
39,4,control,13,WA,51.425056,-0.563937,,
79,4,control,15,BG,51.429234,-0.561836,,
84,4,sivanto,15,BG,51.429153,-0.561640,,
134,4,flup,13,WA,51.424911,-0.563795,,
163,4,sivanto,14,BA,51.427076,-0.560913,,
176,4,sivanto,16,M,51.423385,-0.568636,,
194,4,flup,14,BA,51.426954,-0.560452,,
214,4,control,16,M,51.423549,-0.568568,,
248,4,control,14,BA,51.427018,-0.560282,,
237,4,flup,15,BG,51.429186,-0.561983,,
229,4,flup,16,M,51.423666,-0.568510,,
,,,,,,,,
, ,,,,,,,
75,5,control,20,BG,51.429007,-0.561517,,
118,5,control,18,WA,51.424460,-0.562732,,
135,5,sivanto,19,BA,51.426892,-0.560149,,
140,5,flup,18,WA,51.424489,-0.562816,,
191,5,flup,17,M,51.423159,-0.567765,,
216,5,control,17,M,51.423313,-0.568181,,
250,5,sivanto,20,BG,51.428804,-0.561436,,
314,5,sivanto,17,M,51.423262,-0.567994,,
315,5,flup,20,BG,51.428888,-0.561736,,
264,5,sivanto,18,WA,51.424459,-0.562962,,
277,5,control,19,BA,51.427028,-0.560092,,
300,5,flup,19,BA,51.427157,-0.560124,,