colony_number,block,date,treatment,triad,experiment_census_day,colony_alive,queen_alive,gyne_larvae_pupae,worker_larvae_pupae,worker_number,nectar_pot_number,male_number,gyne_number,wax_moth
216,5,30/05/2022,control,17,21,Y,Y,N,Y,94,10,0,0,N
250,5,30/05/2022,sivanto,20,21,Y,Y,N,Y,58,7,0,0,N
314,5,30/05/2022,sivanto,17,21,Y,Y,N,Y,91,17,1,0,N
315,5,30/05/2022,flup,20,21,Y,Y,N,Y,99,3,0,0,N
264,5,30/05/2022,sivanto,18,21,Y,Y,N,Y,43,4,10,0,N
277,5,30/05/2022,control,19,21,Y,Y,N,Y,115,11,0,0,N
300,5,30/05/2022,flup,19,21,Y,Y,N,Y,68,9,10,0,N
,,,,,,,,,,,,,,
51,1,31/05/2022,sivanto,1,42,Y,Y,N,Y,28,0,67,0,N
7,1,31/05/2022,sivanto,2,42,Y,Y,N,Y,71,5,7,0,N
34,1,31/05/2022,control,1,42,Y,Y,N,Y,51,1,18,0,N
17,1,31/05/2022,flup,2,42,N,N,N,N,0,0,0,0,N
117,1,31/05/2022,flup,3,42,Y,N,N,Y,15,0,27,0,N
8,1,31/05/2022,control,2,42,Y,N,N,Y,85,0,24,0,N
185,1,31/05/2022,control,3,42,Y,Y,N,Y,35,0,29,0,N
57,1,31/05/2022,flup,1,42,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
12,1,31/05/2022,sivanto,3,42,Y,Y,N,Y,29,0,23,0,N
171,1,31/05/2022,sivanto,4,42,Y,N,N,Y,35,2,23,0,N
177,1,31/05/2022,flup,4,42,Y,Y,N,Y,65,3,6,0,N
116,1,31/05/2022,control,4,42,Y,Y,N,Y,26,0,8,0,N
,,,,,,,,,,,,,,
198,3,01/06/2022,flup,12,35,Y,Y,N,Y,50,15,0,0,N
83,3,01/06/2022,sivanto,11,35,Y,Y,N,Y,106,10,6,0,N
159,3,01/06/2022,sivanto,10,35,Y,Y,N,Y,78,3,8,0,N
77,3,01/06/2022,flup,11,35,Y,Y,N,Y,59,7,32,0,N
105,3,01/06/2022,control,9,35,Y,Y,N,Y,85,12,0,0,N
181,3,01/06/2022,flup,9,35,Y,Y,N,Y,48,7,50,0,N
72,3,01/06/2022,control,12,35,Y,Y,N,Y,12,0,4,0,N
197,3,01/06/2022,sivanto,9,35,Y,N,N,Y,135,9,4,0,N
174,3,01/06/2022,sivanto,12,35,Y,Y,N,Y,27,3,0,0,N
203,3,01/06/2022,control,11,35,Y,Y,N,Y,80,8,0,0,N
123,3,01/06/2022,flup,10,35,Y,N,N,Y,22,0,0,0,N
4,3,01/06/2022,control,10,35,N,N,N,N,0,0,0,0,N
,,,,,,,,,,,,,,
96,2,02/06/2022,control,5,42,Y,Y,N,Y,7,0,0,0,N
76,2,02/06/2022,sivanto,5,42,Y,Y,N,Y,37,5,73,0,N
46,2,02/06/2022,flup,5,42,Y,Y,N,Y,49,2,14,0,N
104,2,02/06/2022,sivanto,6,42,Y,N,N,Y,50,8,6,1,N
87,2,02/06/2022,control,6,42,Y,Y,N,Y,16,0,26,0,N
33,2,02/06/2022,control,7,42,Y,Y,N,Y,23,0,1,0,N
170,2,02/06/2022,flup,7,42,Y,Y,N,Y,32,1,47,0,N
119,2,02/06/2022,flup,8,42,Y,Y,N,Y,39,4,0,0,N
124,2,02/06/2022,flup,6,42,Y,Y,N,Y,80,19,85,0,N
131,2,02/06/2022,control,8,42,Y,Y,N,Y,48,6,13,0,N
127,2,02/06/2022,sivanto,7,42,Y,Y,N,Y,36,2,3,0,N
143,2,02/06/2022,sivanto,8,42,Y,N,N,Y,1,0,0,0,N
,,,,,,,,,,,,,,
42,4,03/06/2022,sivanto,13,28,Y,Y,N,Y,12,0,3,0,N
39,4,03/06/2022,control,13,28,Y,Y,N,Y,54,11,0,0,N
79,4,03/06/2022,control,15,28,Y,Y,N,Y,14,4,0,0,N
84,4,03/06/2022,sivanto,15,28,Y,Y,N,Y,27,2,10,0,N
134,4,03/06/2022,flup,13,28,Y,Y,N,Y,97,13,0,0,N
163,4,03/06/2022,sivanto,14,28,Y,Y,N,Y,10,2,6,0,N
176,4,03/06/2022,sivanto,16,28,Y,Y,N,Y,23,4,0,0,N
194,4,03/06/2022,flup,14,28,Y,Y,N,Y,42,7,3,0,N
214,4,03/06/2022,control,16,28,Y,Y,N,Y,30,11,0,0,N
248,4,03/06/2022,control,14,28,Y,Y,N,Y,63,18,0,0,N
237,4,03/06/2022,flup,15,28,Y,Y,N,Y,83,9,5,0,N
229,4,03/06/2022,flup,16,28,Y,Y,N,Y,46,6,7,0,N
,,,,,,,,,,,,,,
75,5,06/06/2022,control,20,28,Y,Y,N,N,11,0,0,0,N
118,5,06/06/2022,control,18,28,Y,Y,N,Y,64,1,7,0,N
135,5,06/06/2022,sivanto,19,28,Y,N,N,Y,41,0,0,0,N
140,5,06/06/2022,flup,18,28,Y,Y,N,Y,69,5,1,0,N
191,5,06/06/2022,flup,17,28,Y,Y,N,Y,87,3,0,0,N
216,5,06/06/2022,control,17,28,Y,Y,N,Y,100,1,0,0,N
250,5,06/06/2022,sivanto,20,28,Y,Y,N,Y,59,3,0,0,N
314,5,06/06/2022,sivanto,17,28,Y,Y,N,Y,111,0,0,0,N
315,5,06/06/2022,flup,20,28,Y,Y,N,Y,58,0,0,0,N
264,5,06/06/2022,sivanto,18,28,Y,Y,N,Y,20,0,6,0,N
277,5,06/06/2022,control,19,28,Y,Y,N,Y,72,3,24,0,N
300,5,06/06/2022,flup,19,28,Y,Y,N,Y,54,2,14,0,N
,,,,,,,,,,,,,,
51,1,07/06/2022,sivanto,1,49,Y,Y,N,Y,14,0,15,0,N
7,1,07/06/2022,sivanto,2,49,Y,Y,N,Y,45,2,26,0,N
34,1,07/06/2022,control,1,49,Y,Y,N,Y,20,0,13,0,N
17,1,07/06/2022,flup,2,49,N,N,N,N,0,0,0,0,N
117,1,07/06/2022,flup,3,49,Y,N,N,Y,12,0,13,0,N
8,1,07/06/2022,control,2,49,Y,N,N,Y,51,1,56,0,N
185,1,07/06/2022,control,3,49,Y,Y,N,Y,15,6,8,0,N
57,1,07/06/2022,flup,1,49,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
12,1,07/06/2022,sivanto,3,49,Y,Y,N,Y,16,0,4,0,N
171,1,07/06/2022,sivanto,4,49,Y,N,N,Y,16,0,11,0,N
177,1,07/06/2022,flup,4,49,Y,Y,N,Y,33,9,47,0,N
116,1,07/06/2022,control,4,49,Y,Y,N,Y,19,0,7,0,N
,,,,,,,,,,,,,,
198,3,08/06/2022,flup,12,42,Y,Y,N,Y,45,3,0,0,N
83,3,08/06/2022,sivanto,11,42,Y,Y,N,Y,57,2,18,0,N
159,3,08/06/2022,sivanto,10,42,Y,Y,N,Y,48,0,23,0,N
77,3,08/06/2022,flup,11,42,Y,Y,N,Y,30,0,3,0,N
105,3,08/06/2022,control,9,42,Y,Y,N,Y,64,7,3,0,N
181,3,08/06/2022,flup,9,42,Y,Y,N,Y,23,1,42,0,N
72,3,08/06/2022,control,12,42,Y,Y,N,Y,11,0,0,0,N
197,3,08/06/2022,sivanto,9,42,Y,N,N,Y,74,7,51,0,N
174,3,08/06/2022,sivanto,12,42,Y,Y,N,Y,28,1,0,0,N
203,3,08/06/2022,control,11,42,Y,Y,N,Y,68,7,14,0,N
123,3,08/06/2022,flup,10,42,Y,N,N,Y,16,0,0,0,N
4,3,08/06/2022,control,10,42,N,N,N,N,0,0,0,0,N
,,,,,,,,,,,,,,
96,2,09/06/2022,control,5,49,N,Y,N,N,1,0,0,0,N
76,2,09/06/2022,sivanto,5,49,Y,Y,N,Y,23,0,31,0,N
46,2,09/06/2022,flup,5,49,Y,Y,N,Y,33,3,19,0,N
104,2,09/06/2022,sivanto,6,49,Y,N,N,Y,26,6,29,0,N
87,2,09/06/2022,control,6,49,N,Y,N,N,2,0,7,0,N
33,2,09/06/2022,control,7,49,Y,Y,N,Y,13,0,2,0,N
170,2,09/06/2022,flup,7,49,Y,Y,N,Y,17,0,12,0,N
119,2,09/06/2022,flup,8,49,Y,Y,N,Y,27,1,0,0,N
124,2,09/06/2022,flup,6,49,Y,N,N,Y,43,8,53,0,N
131,2,09/06/2022,control,8,49,Y,Y,N,Y,35,2,7,0,N
127,2,09/06/2022,sivanto,7,49,Y,Y,N,Y,22,0,0,0,N
143,2,09/06/2022,sivanto,8,49,N,N,N,N,0,0,0,0,N
,,,,,,,,,,,,,,
42,4,12/06/2022,sivanto,13,35,Y,Y,N,Y,7,1,3,0,N
39,4,12/06/2022,control,13,35,Y,Y,N,Y,46,5,20,0,N
79,4,12/06/2022,control,15,35,Y,Y,N,Y,9,1,0,0,N
84,4,12/06/2022,sivanto,15,35,Y,Y,N,Y,12,0,6,0,N
134,4,12/06/2022,flup,13,35,Y,Y,N,Y,74,9,23,0,N
163,4,12/06/2022,sivanto,14,35,Y,Y,N,Y,6,2,1,0,N
176,4,12/06/2022,sivanto,16,35,Y,Y,N,Y,28,3,0,0,N
194,4,12/06/2022,flup,14,35,Y,Y,N,Y,33,6,15,0,N
214,4,12/06/2022,control,16,35,Y,Y,N,Y,19,7,6,0,N
248,4,12/06/2022,control,14,35,Y,Y,N,Y,79,13,2,0,N
237,4,12/06/2022,flup,15,35,Y,Y,N,Y,55,7,75,0,N
229,4,12/06/2022,flup,16,35,Y,Y,N,Y,31,4,10,0,N
,,,,,,,,,,,,,,
75,5,13/06/2022,control,20,35,Y,Y,N,Y,7,1,0,0,N
118,5,13/06/2022,control,18,35,Y,Y,N,Y,43,10,21,0,N
135,5,13/06/2022,sivanto,19,35,Y,N,N,Y,35,3,4,0,N
140,5,13/06/2022,flup,18,35,Y,Y,N,Y,51,19,13,0,N
191,5,13/06/2022,flup,17,35,Y,Y,N,Y,64,9,67,0,N
216,5,13/06/2022,control,17,35,Y,Y,N,Y,78,10,19,0,N
250,5,13/06/2022,sivanto,20,35,Y,Y,N,Y,37,6,11,0,N
314,5,13/06/2022,sivanto,17,35,Y,Y,N,Y,100,10,2,0,N
315,5,13/06/2022,flup,20,35,Y,Y,N,Y,52,3,11,0,N
264,5,13/06/2022,sivanto,18,35,Y,Y,N,Y,16,1,3,0,N
277,5,13/06/2022,control,19,35,Y,Y,N,Y,45,1,41,0,N
300,5,13/06/2022,flup,19,35,Y,Y,N,Y,24,5,28,0,N
,,,,,,,,,,,,,,
51,1,14/06/2022,sivanto,1,56,Y,Y,N,Y,6,1,2,0,N
7,1,14/06/2022,sivanto,2,56,Y,Y,N,Y,24,10,15,0,N
34,1,14/06/2022,control,1,56,Y,Y,N,Y,7,4,10,0,N
17,1,14/06/2022,flup,2,56,N,N,N,N,0,0,0,0,N
117,1,14/06/2022,flup,3,56,N,N,N,N,0,0,0,0,N
8,1,14/06/2022,control,2,56,Y,N,N,Y,36,6,21,0,N
185,1,14/06/2022,control,3,56,Y,Y,N,Y,7,4,2,0,N
57,1,14/06/2022,flup,1,56,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
12,1,14/06/2022,sivanto,3,56,Y,Y,N,Y,9,1,1,0,N
171,1,14/06/2022,sivanto,4,56,N,N,N,Y,9,4,0,0,N
177,1,14/06/2022,flup,4,56,Y,Y,N,Y,18,8,9,0,N
116,1,14/06/2022,control,4,56,Y,Y,N,Y,9,0,0,0,N
,,,,,,,,,,,,,,
198,3,15/06/2022,flup,12,49,Y,Y,N,Y,68,10,0,0,N
83,3,15/06/2022,sivanto,11,49,Y,Y,N,Y,28,8,18,0,N
159,3,15/06/2022,sivanto,10,49,Y,Y,N,Y,31,8,13,0,N
77,3,15/06/2022,flup,11,49,Y,Y,N,Y,8,14,16,0,N
105,3,15/06/2022,control,9,49,Y,Y,N,Y,38,6,3,0,N
181,3,15/06/2022,flup,9,49,Y,N,N,Y,12,13,30,0,N
72,3,15/06/2022,control,12,49,Y,Y,N,Y,7,0,0,0,N
197,3,15/06/2022,sivanto,9,49,Y,N,N,Y,47,17,35,0,N
174,3,15/06/2022,sivanto,12,49,Y,Y,N,Y,11,7,13,0,N
203,3,15/06/2022,control,11,49,Y,Y,N,Y,49,11,0,0,N
123,3,15/06/2022,flup,10,49,Y,N,N,Y,10,3,0,0,N
4,3,15/06/2022,control,10,49,N,N,N,N,0,0,0,0,N
,,,,,,,,,,,,,,
96,2,16/06/2022,control,5,56,N,N,N,N,0,0,0,0,N
76,2,16/06/2022,sivanto,5,56,Y,Y,N,Y,10,1,7,0,N
46,2,16/06/2022,flup,5,56,Y,Y,N,Y,21,10,10,0,N
104,2,16/06/2022,sivanto,6,56,Y,N,N,Y,13,5,11,0,N
87,2,16/06/2022,control,6,56,N,Y,N,N,0,0,0,0,N
33,2,16/06/2022,control,7,56,Y,Y,N,Y,10,2,3,0,N
170,2,16/06/2022,flup,7,56,N,N,N,Y,7,1,1,0,N
119,2,16/06/2022,flup,8,56,Y,Y,N,Y,21,4,9,0,N
124,2,16/06/2022,flup,6,56,Y,N,N,Y,30,6,0,0,N
131,2,16/06/2022,control,8,56,Y,N?,N,Y,26,7,5,0,N
127,2,16/06/2022,sivanto,7,56,Y,N,N,Y,18,2,0,0,N
143,2,16/06/2022,sivanto,8,56,N,N,N,N,0,0,0,0,N
,,,,,,,,,,,,,,
42,4,17/06/2022,sivanto,13,42,N,Y,N,Y,3,1,0,0,N
39,4,17/06/2022,control,13,42,Y,Y,N,Y,29,10,4,0,N
79,4,17/06/2022,control,15,42,N,Y,N,N,1,0,0,0,N
84,4,17/06/2022,sivanto,15,42,N,N,N,N,0,0,3,0,N
134,4,17/06/2022,flup,13,42,Y,Y,N,Y,55,10,7,0,N
163,4,17/06/2022,sivanto,14,42,N,Y,N,Y,3,1,0,0,N
176,4,17/06/2022,sivanto,16,42,Y,Y,N,Y,29,8,0,0,N
194,4,17/06/2022,flup,14,42,Y,Y,N,Y,19,6,1,0,N
214,4,17/06/2022,control,16,42,Y,Y,N,Y,32,12,0,0,N
248,4,17/06/2022,control,14,42,Y,Y,N,Y,46,10,0,0,N
237,4,17/06/2022,flup,15,42,Y,Y,N,Y,30,4,14,0,N
229,4,17/06/2022,flup,16,42,Y,Y,N,Y,15,6,1,0,N
,,,,,,,,,,,,,,
75,5,20/06/2022,control,20,42,Y,Y,N,Y,4,0,0,0,N
118,5,20/06/2022,control,18,42,Y,Y,N,Y,35,8,12,0,N
135,5,20/06/2022,sivanto,19,42,Y,N,N,Y,33,5,5,0,N
140,5,20/06/2022,flup,18,42,Y,Y,N,Y,45,23,0,0,N
191,5,20/06/2022,flup,17,42,Y,N,N,Y,39,18,45,0,N
216,5,20/06/2022,control,17,42,Y,Y,N,Y,57,20,15,0,N
250,5,20/06/2022,sivanto,20,42,Y,Y,N,Y,29,4,0,0,N
314,5,20/06/2022,sivanto,17,42,Y,Y,N,Y,66,6,24,0,N
315,5,20/06/2022,flup,20,42,Y,Y,N,Y,50,4,15,0,N
264,5,20/06/2022,sivanto,18,42,Y,Y,N,Y,4,3,1,0,N
277,5,20/06/2022,control,19,42,Y,Y,N,Y,34,2,6,0,N
300,5,20/06/2022,flup,19,42,Y,Y,N,Y,21,3,0,0,N
,,,,,,,,,,,,,,
51,1,21/06/2022,sivanto,1,63,N,N,N,N,0,0,0,0,N
7,1,21/06/2022,sivanto,2,63,Y,Y,N,Y,17,5,6,0,N
34,1,21/06/2022,control,1,63,N,Y,N,N,0,0,0,0,N
17,1,21/06/2022,flup,2,63,N,N,N,N,0,0,0,0,N
117,1,21/06/2022,flup,3,63,N,N,N,N,0,0,0,0,N
8,1,21/06/2022,control,2,63,Y,N,N,Y,24,6,5,0,N
185,1,21/06/2022,control,3,63,Y,Y,N,Y,4,1,0,0,N
57,1,21/06/2022,flup,1,63,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
12,1,21/06/2022,sivanto,3,63,N,N,N,N,0,0,0,0,N
171,1,21/06/2022,sivanto,4,63,N,N,N,Y,7,4,0,0,N
177,1,21/06/2022,flup,4,63,Y,Y,N,Y,12,1,4,0,N
116,1,21/06/2022,control,4,63,N,Y,N,Y,1,0,0,0,N
,,,,,,,,,,,,,,
198,3,22/06/2022,flup,12,56,Y,Y,N,Y,60,16,21,0,N
83,3,22/06/2022,sivanto,11,56,Y,N,N,Y,20,4,5,0,N
159,3,22/06/2022,sivanto,10,56,Y,N,N,Y,23,5,0,0,N
77,3,22/06/2022,flup,11,56,N,Y,N,Y,3,2,0,0,N
105,3,22/06/2022,control,9,56,Y,Y,N,Y,33,6,0,0,N
181,3,22/06/2022,flup,9,56,N,N,N,Y,3,11,0,0,N
72,3,22/06/2022,control,12,56,N,Y,N,Y,2,3,0,0,N
197,3,22/06/2022,sivanto,9,56,Y,N,N,Y,60,3,4,0,Y
174,3,22/06/2022,sivanto,12,56,Y,Y,N,Y,12,0,0,0,N
203,3,22/06/2022,control,11,56,Y,Y,Y,Y,43,14,1,0,N
123,3,22/06/2022,flup,10,56,N,N,N,Y,2,0,0,0,N
4,3,22/06/2022,control,10,56,N,N,N,N,0,0,0,0,N
,,,,,,,,,,,,,,
96,2,23/06/2022,control,5,63,N,N,N,N,0,0,0,0,N
76,2,23/06/2022,sivanto,5,63,Y,Y,N,Y,4,0,0,0,N
46,2,23/06/2022,flup,5,63,Y,Y,N,Y,13,7,3,0,N
104,2,23/06/2022,sivanto,6,63,Y,N,N,Y,9,3,0,0,N
87,2,23/06/2022,control,6,63,N,N,N,N,0,0,0,0,N
33,2,23/06/2022,control,7,63,Y,Y,N,Y,4,1,0,0,N
170,2,23/06/2022,flup,7,63,N,N,N,N,1,0,0,0,N
119,2,23/06/2022,flup,8,63,Y,Y,N,Y,18,3,2,0,N
124,2,23/06/2022,flup,6,63,Y,N,Y,Y,19,8,2,0,N
131,2,23/06/2022,control,8,63,Y,Y,N,Y,21,7,0,0,N
127,2,23/06/2022,sivanto,7,63,Y,N,N,Y,14,5,5,0,N
143,2,23/06/2022,sivanto,8,63,N,N,N,N,0,0,0,0,N
,,,,,,,,,,,,,,
42,4,24/06/2022,sivanto,13,49,N,Y,N,Y,0,0,0,0,N
39,4,24/06/2022,control,13,49,Y,Y,N,Y,17,2,1,0,Y
79,4,24/06/2022,control,15,49,N,N,N,N,0,0,0,0,N
84,4,24/06/2022,sivanto,15,49,N,N,N,N,0,0,0,0,N
134,4,24/06/2022,flup,13,49,Y,Y,N,Y,43,14,41,0,N
163,4,24/06/2022,sivanto,14,49,N,Y,N,N,1,0,0,0,N
176,4,24/06/2022,sivanto,16,49,Y,Y,N,Y,32,8,0,0,N
194,4,24/06/2022,flup,14,49,Y,N,N,Y,10,0,0,0,Y
214,4,24/06/2022,control,16,49,Y,Y,N,Y,42,8,10,0,N
248,4,24/06/2022,control,14,49,Y,Y,N,Y,36,11,15,0,N
237,4,24/06/2022,flup,15,49,Y,Y,N,Y,25,7,11,0,N
229,4,24/06/2022,flup,16,49,Y,Y,N,Y,17,0,7,0,N
,,,,,,,,,,,,,,
75,5,27/06/2022,control,20,49,N,Y,N,N,1,0,0,0,N
118,5,27/06/2022,control,18,49,Y,Y,N,Y,29,9,8,0,N
135,5,27/06/2022,sivanto,19,49,Y,N,N,Y,23,4,1,0,Y
140,5,27/06/2022,flup,18,49,Y,N,Y,Y,32,16,33,0,N
191,5,27/06/2022,flup,17,49,Y,N,N,Y,42,12,13,0,Y
216,5,27/06/2022,control,17,49,Y,Y,N,Y,49,24,43,0,Y
250,5,27/06/2022,sivanto,20,49,Y,Y,N,Y,20,5,10,0,N
314,5,27/06/2022,sivanto,17,49,Y,Y,N,Y,39,11,36,0,N
315,5,27/06/2022,flup,20,49,Y,Y,N,Y,33,4,5,0,Y
264,5,27/06/2022,sivanto,18,49,N,Y,N,Y,2,4,0,0,N
277,5,27/06/2022,control,19,49,Y,Y,N,Y,24,8,42,0,N
300,5,27/06/2022,flup,19,49,Y,Y,N,Y,14,7,14,0,Y
,,,,,,,,,,,,,,
51,1,28/06/2022,sivanto,1,70,N,N,N,N,0,0,0,0,N
7,1,28/06/2022,sivanto,2,70,Y,N,N,Y,14,1,0,0,N
34,1,28/06/2022,control,1,70,N,N,N,N,0,0,0,0,N
17,1,28/06/2022,flup,2,70,N,N,N,N,0,0,0,0,N
117,1,28/06/2022,flup,3,70,N,N,N,N,0,0,0,0,N
8,1,28/06/2022,control,2,70,Y,N,N,Y,14,0,2,0,N
185,1,28/06/2022,control,3,70,Y,Y,N,Y,4,0,0,0,N
57,1,28/06/2022,flup,1,70,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
12,1,28/06/2022,sivanto,3,70,N,N,N,N,0,0,0,0,N
171,1,28/06/2022,sivanto,4,70,N,N,N,Y,5,0,0,0,N
177,1,28/06/2022,flup,4,70,Y,Y,N,Y,9,0,0,0,N
116,1,28/06/2022,control,4,70,N,N,N,N,0,0,0,0,N
,,,,,,,,,,,,,,
198,3,29/06/2022,flup,12,63,Y,Y,N,Y,61,29,74,0,N
83,3,29/06/2022,sivanto,11,63,Y,N,N,Y,10,5,0,0,N
159,3,29/06/2022,sivanto,10,63,Y,N,N,Y,19,6,0,0,N
77,3,29/06/2022,flup,11,63,N,N,N,N,0,0,0,0,N
105,3,29/06/2022,control,9,63,Y,Y,N,Y,23,10,33,0,N
181,3,29/06/2022,flup,9,63,N,N,N,N,0,0,0,0,N
72,3,29/06/2022,control,12,63,N,N,N,N,0,0,0,0,N
197,3,29/06/2022,sivanto,9,63,Y,N,N,Y,40,3,0,0,Y
174,3,29/06/2022,sivanto,12,63,Y,Y,N,Y,7,2,4,0,N
203,3,29/06/2022,control,11,63,Y,Y,Y,Y,27,36,47,0,N
123,3,29/06/2022,flup,10,63,N,N,N,N,0,0,0,0,N
4,3,29/06/2022,control,10,63,N,N,N,N,0,0,0,0,N
,,,,,,,,,,,,,,
96,2,30/06/2022,control,5,70,N,N,N,N,0,0,0,0,N
76,2,30/06/2022,sivanto,5,70,N,Y,N,Y,2,0,0,0,N
46,2,30/06/2022,flup,5,70,Y,Y,N,Y,9,4,0,0,N
104,2,30/06/2022,sivanto,6,70,N,N,N,Y,6,0,0,0,N
87,2,30/06/2022,control,6,70,N,N,N,N,0,0,0,0,N
33,2,30/06/2022,control,7,70,N,Y,N,Y,2,0,0,0,N
170,2,30/06/2022,flup,7,70,N,N,N,N,0,0,0,0,N
119,2,30/06/2022,flup,8,70,Y,Y,N,Y,18,5,8,0,N
124,2,30/06/2022,flup,6,70,Y,N,Y,Y,16,5,4,0,N
131,2,30/06/2022,control,8,70,Y,Y,N,Y,8,0,0,0,N
127,2,30/06/2022,sivanto,7,70,Y,N,N,Y,11,1,0,0,Y
143,2,30/06/2022,sivanto,8,70,N,N,N,N,0,0,0,0,N
,,,,,,,,,,,,,,
42,4,01/07/2022,sivanto,13,56,N,N,N,N,0,0,0,0,N
39,4,01/07/2022,control,13,56,Y,Y,N,Y,11,0,1,0,Y
79,4,01/07/2022,control,15,56,N,N,N,N,0,0,0,0,N
84,4,01/07/2022,sivanto,15,56,N,N,N,N,0,0,0,0,N
134,4,01/07/2022,flup,13,56,Y,Y,N,Y,40,19,37,0,N
163,4,01/07/2022,sivanto,14,56,N,N,N,N,1,0,0,0,N
176,4,01/07/2022,sivanto,16,56,Y,N,N,Y,42,6,3,0,N
194,4,01/07/2022,flup,14,56,N,N,N,Y,4,0,0,0,Y
214,4,01/07/2022,control,16,56,Y,Y,N,Y,32,16,20,0,N
248,4,01/07/2022,control,14,56,Y,Y,N,Y,24,12,22,0,N
237,4,01/07/2022,flup,15,56,Y,Y,N,Y,18,8,10,0,N
