colony_number,block,treatment,triad,campus_location,rearing_location,number_of_workers_at_exposure_start,time_to_egg_laying,time_to_6_workers,time_to_exposure_start,queen_capture_day,wax_moth,queen_survival_days,total_reproductive_mass_g
51,1,sivanto,1,M,porkka,20,18,33,52,10,N,63,15.4265
7,1,sivanto,2,WA,porkka,19,11,42,61,1,N,70,5.8703
34,1,control,1,M,porkka,28,10,38,53,9,N,70,11.6325
17,1,flup,2,WA,porkka,15,11,49,61,1,N,7,0
117,1,flup,3,BA,porkka,14,7,28,40,22,N,35,14.2178
8,1,control,2,WA,porkka,17,11,49,61,1,N,42,12.8846
185,1,control,3,BA,porkka,8,9,27,35,27,N,77,7.901
57,1,flup,1,M,porkka,22,13,42,47,15,N,105,NA
12,1,sivanto,3,BA,porkka,11,11,56,61,1,N,63,5.8364
171,1,sivanto,4,BG,porkka,6,9,30,35,27,N,42,9.8221
177,1,flup,4,BG,porkka,6,9,34,35,27,N,84,7.5639
116,1,control,4,BG,porkka,7,7,39,40,22,N,70,3.3685
96,2,control,5,BG,porkka,10,8,41,44,20,N,56,0
76,2,sivanto,5,BG,porkka,19,9,42,45,19,N,77,20.2601
46,2,flup,5,BG,porkka,10,18,51,54,10,N,84,4.5234
104,2,sivanto,6,M,porkka,8,9,41,44,20,N,21,5.3361
87,2,control,6,M,porkka,8,8,41,44,20,N,63,10.3421
33,2,control,7,WA,porkka,7,10,52,55,9,N,84,1.6428
170,2,flup,7,WA,porkka,7,9,34,37,27,N,56,8.2438
119,2,flup,8,BA,porkka,5,14,39,42,22,N,91,2.1883
124,2,flup,6,M,porkka,10,7,39,42,22,N,49,20.4413
131,2,control,8,BA,porkka,6,7,39,42,22,N,84,3.3973
127,2,sivanto,7,WA,porkka,7,14,39,42,22,Y,56,0.6252
143,2,sivanto,8,BA,porkka,7,7,39,42,22,N,42,1.1286
198,3,flup,12,WA,porkka,6,11,39,40,30,N,77,27.7168
83,3,sivanto,11,M,porkka,7,28,50,51,19,N,56,4.5622
159,3,sivanto,10,BG,porkka,9,9,42,43,27,N,56,4.0726
77,3,flup,11,M,porkka,6,24,50,51,19,N,63,4.8682
105,3,control,9,BA,porkka,10,9,49,50,20,N,77,4.707
181,3,flup,9,BA,porkka,14,9,42,43,27,N,49,12.8651
72,3,control,12,WA,porkka,5,17,50,51,19,N,63,0.5336
197,3,sivanto,9,BA,porkka,11,6,32,40,30,Y,35,9.7454
174,3,sivanto,12,WA,porkka,6,9,42,43,27,N,84,1.7774
203,3,control,11,M,porkka,7,24,39,40,30,N,77,10.0879
123,3,flup,10,BG,porkka,9,7,47,48,22,N,21,0
4,3,control,10,BG,porkka,10,11,68,69,1,N,21,4.8705
42,4,sivanto,13,WA,porkka,14,23,67,69,10,N,56,1.3566
39,4,control,13,WA,porkka,20,27,68,70,9,Y,63,2.5687
79,4,control,15,BG,porkka,10,17,58,60,19,N,49,3.216
84,4,sivanto,15,BG,porkka,7,17,58,60,19,N,42,2.0056
134,4,flup,13,WA,porkka,15,7,55,57,22,N,84,12.8744
163,4,sivanto,14,BA,porkka,10,9,50,52,27,N,56,1.1422
176,4,sivanto,16,M,porkka,5,9,50,52,27,N,56,3.783
194,4,flup,14,BA,porkka,16,11,47,49,30,Y,49,1.8822
214,4,control,16,M,porkka,8,24,47,49,30,N,70,8.3398
248,4,control,14,BA,bee_room,8,20,42,44,35,N,63,3.3654
237,4,flup,15,BG,bee_room,9,20,42,44,35,N,77,11.5272
229,4,flup,16,M,bee_room,8,20,42,44,35,Y,63,2.7416
75,5,control,20,BG,porkka,8,17,58,60,19,N,63,0.4049
118,5,control,18,WA,porkka,13,7,55,57,22,N,63,6.063
135,5,sivanto,19,BA,porkka,9,25,55,57,22,Y,21,0.9349
140,5,flup,18,WA,porkka,16,7,55,57,22,N,49,6.1819
191,5,flup,17,M,porkka,16,9,50,52,27,Y,42,14.1305
216,5,control,17,M,porkka,23,6,47,49,30,Y,70,11.9637
250,5,sivanto,20,BG,bee_room,9,20,42,44,35,N,70,3.3549
314,5,sivanto,17,M,bee_room,23,6,40,42,37,N,70,14.6404
315,5,flup,20,BG,bee_room,7,11,40,42,37,Y,77,6.223
264,5,sivanto,18,WA,bee_room,15,12,41,43,36,N,63,1.9797
277,5,control,19,BA,bee_room,11,18,40,42,37,N,70,12.5263
300,5,flup,19,BA,bee_room,11,11,40,42,37,Y,63,5.8756