colony_number,block,treatment,triad,experiment_census_day,wax_moth,worker_number,campus_location,rearing_location,number_of_workers_at_exposure_start,time_to_egg_laying,time_to_6_workers,time_to_exposure_start,queen_capture_day
51,1,sivanto,1,0,N,20,M,porkka,20,18,33,52,10
7,1,sivanto,2,0,N,19,WA,porkka,19,11,42,61,1
34,1,control,1,0,N,28,M,porkka,28,10,38,53,9
17,1,flup,2,0,N,15,WA,porkka,15,11,49,61,1
117,1,flup,3,0,N,14,BA,porkka,14,7,28,40,22
8,1,control,2,0,N,17,WA,porkka,17,11,49,61,1
185,1,control,3,0,N,8,BA,porkka,8,9,27,35,27
57,1,flup,1,0,N,22,M,porkka,22,13,42,47,15
12,1,sivanto,3,0,N,11,BA,porkka,11,11,56,61,1
171,1,sivanto,4,0,N,6,BG,porkka,6,9,30,35,27
177,1,flup,4,0,N,6,BG,porkka,6,9,34,35,27
116,1,control,4,0,N,7,BG,porkka,7,7,39,40,22
96,2,control,5,0,N,10,BG,porkka,10,8,41,44,20
76,2,sivanto,5,0,N,19,BG,porkka,19,9,42,45,19
46,2,flup,5,0,N,10,BG,porkka,10,18,51,54,10
104,2,sivanto,6,0,N,8,M,porkka,8,9,41,44,20
87,2,control,6,0,N,8,M,porkka,8,8,41,44,20
33,2,control,7,0,N,7,WA,porkka,7,10,52,55,9
170,2,flup,7,0,N,7,WA,porkka,7,9,34,37,27
119,2,flup,8,0,N,5,BA,porkka,5,14,39,42,22
124,2,flup,6,0,N,10,M,porkka,10,7,39,42,22
131,2,control,8,0,N,6,BA,porkka,6,7,39,42,22
127,2,sivanto,7,0,N,7,WA,porkka,7,14,39,42,22
143,2,sivanto,8,0,N,7,BA,porkka,7,7,39,42,22
51,1,sivanto,1,7,N,30,M,porkka,20,18,33,52,10
7,1,sivanto,2,7,N,28,WA,porkka,19,11,42,61,1
34,1,control,1,7,N,39,M,porkka,28,10,38,53,9
17,1,flup,2,7,N,13,WA,porkka,15,11,49,61,1
117,1,flup,3,7,N,31,BA,porkka,14,7,28,40,22
8,1,control,2,7,N,23,WA,porkka,17,11,49,61,1
185,1,control,3,7,N,30,BA,porkka,8,9,27,35,27
57,1,flup,1,7,N,31,M,porkka,22,13,42,47,15
12,1,sivanto,3,7,N,21,BA,porkka,11,11,56,61,1
171,1,sivanto,4,7,N,14,BG,porkka,6,9,30,35,27
177,1,flup,4,7,N,17,BG,porkka,6,9,34,35,27
116,1,control,4,7,N,26,BG,porkka,7,7,39,40,22
198,3,flup,12,0,N,6,WA,porkka,6,11,39,40,30
83,3,sivanto,11,0,N,7,M,porkka,7,28,50,51,19
159,3,sivanto,10,0,N,9,BG,porkka,9,9,42,43,27
77,3,flup,11,0,N,6,M,porkka,6,24,50,51,19
105,3,control,9,0,N,10,BA,porkka,10,9,49,50,20
181,3,flup,9,0,N,14,BA,porkka,14,9,42,43,27
72,3,control,12,0,N,5,WA,porkka,5,17,50,51,19
197,3,sivanto,9,0,N,11,BA,porkka,11,6,32,40,30
174,3,sivanto,12,0,N,6,WA,porkka,6,9,42,43,27
203,3,control,11,0,N,7,M,porkka,7,24,39,40,30
123,3,flup,10,0,N,9,BG,porkka,9,7,47,48,22
4,3,control,10,0,N,10,BG,porkka,10,11,68,69,1
96,2,control,5,7,N,25,BG,porkka,10,8,41,44,20
76,2,sivanto,5,7,N,35,BG,porkka,19,9,42,45,19
46,2,flup,5,7,N,15,BG,porkka,10,18,51,54,10
104,2,sivanto,6,7,N,18,M,porkka,8,9,41,44,20
87,2,control,6,7,N,29,M,porkka,8,8,41,44,20
33,2,control,7,7,N,13,WA,porkka,7,10,52,55,9
170,2,flup,7,7,N,16,WA,porkka,7,9,34,37,27
119,2,flup,8,7,N,12,BA,porkka,5,14,39,42,22
124,2,flup,6,7,N,17,M,porkka,10,7,39,42,22
131,2,control,8,7,N,15,BA,porkka,6,7,39,42,22
127,2,sivanto,7,7,N,8,WA,porkka,7,14,39,42,22
143,2,sivanto,8,7,N,16,BA,porkka,7,7,39,42,22
51,1,sivanto,1,14,N,53,M,porkka,20,18,33,52,10
7,1,sivanto,2,14,N,47,WA,porkka,19,11,42,61,1
34,1,control,1,14,N,78,M,porkka,28,10,38,53,9
17,1,flup,2,14,N,15,WA,porkka,15,11,49,61,1
117,1,flup,3,14,N,57,BA,porkka,14,7,28,40,22
8,1,control,2,14,N,46,WA,porkka,17,11,49,61,1
185,1,control,3,14,N,45,BA,porkka,8,9,27,35,27
57,1,flup,1,14,N,44,M,porkka,22,13,42,47,15
12,1,sivanto,3,14,N,38,BA,porkka,11,11,56,61,1
171,1,sivanto,4,14,N,34,BG,porkka,6,9,30,35,27
177,1,flup,4,14,N,28,BG,porkka,6,9,34,35,27
116,1,control,4,14,N,35,BG,porkka,7,7,39,40,22
198,3,flup,12,7,N,6,WA,porkka,6,11,39,40,30
83,3,sivanto,11,7,N,17,M,porkka,7,28,50,51,19
159,3,sivanto,10,7,N,23,BG,porkka,9,9,42,43,27
77,3,flup,11,7,N,13,M,porkka,6,24,50,51,19
105,3,control,9,7,N,19,BA,porkka,10,9,49,50,20
181,3,flup,9,7,N,22,BA,porkka,14,9,42,43,27
72,3,control,12,7,N,5,WA,porkka,5,17,50,51,19
197,3,sivanto,9,7,N,19,BA,porkka,11,6,32,40,30
174,3,sivanto,12,7,N,13,WA,porkka,6,9,42,43,27
203,3,control,11,7,N,7,M,porkka,7,24,39,40,30
123,3,flup,10,7,N,11,BG,porkka,9,7,47,48,22
4,3,control,10,7,N,23,BG,porkka,10,11,68,69,1
96,2,control,5,14,N,20,BG,porkka,10,8,41,44,20
76,2,sivanto,5,14,N,64,BG,porkka,19,9,42,45,19
46,2,flup,5,14,N,22,BG,porkka,10,18,51,54,10
104,2,sivanto,6,14,N,30,M,porkka,8,9,41,44,20
87,2,control,6,14,N,38,M,porkka,8,8,41,44,20
33,2,control,7,14,N,21,WA,porkka,7,10,52,55,9
170,2,flup,7,14,N,27,WA,porkka,7,9,34,37,27
119,2,flup,8,14,N,20,BA,porkka,5,14,39,42,22
124,2,flup,6,14,N,37,M,porkka,10,7,39,42,22
131,2,control,8,14,N,24,BA,porkka,6,7,39,42,22
127,2,sivanto,7,14,N,16,WA,porkka,7,14,39,42,22
143,2,sivanto,8,14,N,27,BA,porkka,7,7,39,42,22
42,4,sivanto,13,0,N,14,WA,porkka,14,23,67,69,10
39,4,control,13,0,N,20,WA,porkka,20,27,68,70,9
79,4,control,15,0,N,10,BG,porkka,10,17,58,60,19
84,4,sivanto,15,0,N,7,BG,porkka,7,17,58,60,19
134,4,flup,13,0,N,15,WA,porkka,15,7,55,57,22
163,4,sivanto,14,0,N,10,BA,porkka,10,9,50,52,27
176,4,sivanto,16,0,N,5,M,porkka,5,9,50,52,27
194,4,flup,14,0,N,16,BA,porkka,16,11,47,49,30
214,4,control,16,0,N,8,M,porkka,8,24,47,49,30
248,4,control,14,0,N,8,BA,bee_room,8,20,42,44,35
237,4,flup,15,0,N,9,BG,bee_room,9,20,42,44,35
229,4,flup,16,0,N,8,M,bee_room,8,20,42,44,35
75,5,control,20,0,N,8,BG,porkka,8,17,58,60,19
118,5,control,18,0,N,13,WA,porkka,13,7,55,57,22
135,5,sivanto,19,0,N,9,BA,porkka,9,25,55,57,22
140,5,flup,18,0,N,16,WA,porkka,16,7,55,57,22
191,5,flup,17,0,N,16,M,porkka,16,9,50,52,27
216,5,control,17,0,N,23,M,porkka,23,6,47,49,30
250,5,sivanto,20,0,N,9,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,0,N,23,M,bee_room,23,6,40,42,37
315,5,flup,20,0,N,7,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,0,N,15,WA,bee_room,15,12,41,43,36
277,5,control,19,0,N,11,BA,bee_room,11,18,40,42,37
300,5,flup,19,0,N,11,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,21,N,64,M,porkka,20,18,33,52,10
7,1,sivanto,2,21,N,53,WA,porkka,19,11,42,61,1
34,1,control,1,21,N,84,M,porkka,28,10,38,53,9
17,1,flup,2,21,N,16,WA,porkka,15,11,49,61,1
117,1,flup,3,21,N,88,BA,porkka,14,7,28,40,22
8,1,control,2,21,N,80,WA,porkka,17,11,49,61,1
185,1,control,3,21,N,86,BA,porkka,8,9,27,35,27
57,1,flup,1,21,N,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,21,N,48,BA,porkka,11,11,56,61,1
171,1,sivanto,4,21,N,60,BG,porkka,6,9,30,35,27
177,1,flup,4,21,N,50,BG,porkka,6,9,34,35,27
116,1,control,4,21,N,48,BG,porkka,7,7,39,40,22
198,3,flup,12,14,N,30,WA,porkka,6,11,39,40,30
83,3,sivanto,11,14,N,23,M,porkka,7,28,50,51,19
159,3,sivanto,10,14,N,30,BG,porkka,9,9,42,43,27
77,3,flup,11,14,N,37,M,porkka,6,24,50,51,19
105,3,control,9,14,N,31,BA,porkka,10,9,49,50,20
181,3,flup,9,14,N,33,BA,porkka,14,9,42,43,27
72,3,control,12,14,N,11,WA,porkka,5,17,50,51,19
197,3,sivanto,9,14,N,41,BA,porkka,11,6,32,40,30
174,3,sivanto,12,14,N,18,WA,porkka,6,9,42,43,27
203,3,control,11,14,N,29,M,porkka,7,24,39,40,30
123,3,flup,10,14,N,18,BG,porkka,9,7,47,48,22
4,3,control,10,14,N,31,BG,porkka,10,11,68,69,1
96,2,control,5,21,N,33,BG,porkka,10,8,41,44,20
76,2,sivanto,5,21,N,66,BG,porkka,19,9,42,45,19
46,2,flup,5,21,N,36,BG,porkka,10,18,51,54,10
104,2,sivanto,6,21,N,51,M,porkka,8,9,41,44,20
87,2,control,6,21,N,42,M,porkka,8,8,41,44,20
33,2,control,7,21,N,34,WA,porkka,7,10,52,55,9
170,2,flup,7,21,N,49,WA,porkka,7,9,34,37,27
119,2,flup,8,21,N,34,BA,porkka,5,14,39,42,22
124,2,flup,6,21,N,72,M,porkka,10,7,39,42,22
131,2,control,8,21,N,43,BA,porkka,6,7,39,42,22
127,2,sivanto,7,21,N,18,WA,porkka,7,14,39,42,22
143,2,sivanto,8,21,N,23,BA,porkka,7,7,39,42,22
42,4,sivanto,13,7,N,22,WA,porkka,14,23,67,69,10
39,4,control,13,7,N,31,WA,porkka,20,27,68,70,9
79,4,control,15,7,N,25,BG,porkka,10,17,58,60,19
84,4,sivanto,15,7,N,13,BG,porkka,7,17,58,60,19
134,4,flup,13,7,N,18,WA,porkka,15,7,55,57,22
163,4,sivanto,14,7,N,19,BA,porkka,10,9,50,52,27
176,4,sivanto,16,7,N,14,M,porkka,5,9,50,52,27
194,4,flup,14,7,N,20,BA,porkka,16,11,47,49,30
214,4,control,16,7,N,13,M,porkka,8,24,47,49,30
248,4,control,14,7,N,25,BA,bee_room,8,20,42,44,35
237,4,flup,15,7,N,18,BG,bee_room,9,20,42,44,35
229,4,flup,16,7,N,8,M,bee_room,8,20,42,44,35
75,5,control,20,7,N,9,BG,porkka,8,17,58,60,19
118,5,control,18,7,N,25,WA,porkka,13,7,55,57,22
135,5,sivanto,19,7,N,15,BA,porkka,9,25,55,57,22
140,5,flup,18,7,N,21,WA,porkka,16,7,55,57,22
191,5,flup,17,7,N,32,M,porkka,16,9,50,52,27
216,5,control,17,7,N,24,M,porkka,23,6,47,49,30
250,5,sivanto,20,7,N,17,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,7,N,27,M,bee_room,23,6,40,42,37
315,5,flup,20,7,N,18,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,7,N,18,WA,bee_room,15,12,41,43,36
277,5,control,19,7,N,30,BA,bee_room,11,18,40,42,37
300,5,flup,19,7,N,26,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,28,N,79,M,porkka,20,18,33,52,10
7,1,sivanto,2,28,N,71,WA,porkka,19,11,42,61,1
34,1,control,1,28,N,81,M,porkka,28,10,38,53,9
17,1,flup,2,28,N,11,WA,porkka,15,11,49,61,1
117,1,flup,3,28,N,65,BA,porkka,14,7,28,40,22
8,1,control,2,28,N,86,WA,porkka,17,11,49,61,1
185,1,control,3,28,N,95,BA,porkka,8,9,27,35,27
57,1,flup,1,28,n/a,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,28,N,53,BA,porkka,11,11,56,61,1
171,1,sivanto,4,28,N,65,BG,porkka,6,9,30,35,27
177,1,flup,4,28,N,73,BG,porkka,6,9,34,35,27
116,1,control,4,28,N,40,BG,porkka,7,7,39,40,22
198,3,flup,12,21,N,35,WA,porkka,6,11,39,40,30
83,3,sivanto,11,21,N,36,M,porkka,7,28,50,51,19
159,3,sivanto,10,21,N,66,BG,porkka,9,9,42,43,27
77,3,flup,11,21,N,67,M,porkka,6,24,50,51,19
105,3,control,9,21,N,39,BA,porkka,10,9,49,50,20
181,3,flup,9,21,N,75,BA,porkka,14,9,42,43,27
72,3,control,12,21,N,10,WA,porkka,5,17,50,51,19
197,3,sivanto,9,21,N,82,BA,porkka,11,6,32,40,30
174,3,sivanto,12,21,N,25,WA,porkka,6,9,42,43,27
203,3,control,11,21,N,43,M,porkka,7,24,39,40,30
123,3,flup,10,21,N,22,BG,porkka,9,7,47,48,22
4,3,control,10,21,N,26,BG,porkka,10,11,68,69,1
96,2,control,5,28,N,26,BG,porkka,10,8,41,44,20
76,2,sivanto,5,28,N,84,BG,porkka,19,9,42,45,19
46,2,flup,5,28,N,56,BG,porkka,10,18,51,54,10
104,2,sivanto,6,28,N,80,M,porkka,8,9,41,44,20
87,2,control,6,28,N,45,M,porkka,8,8,41,44,20
33,2,control,7,28,N,49,WA,porkka,7,10,52,55,9
170,2,flup,7,28,N,72,WA,porkka,7,9,34,37,27
119,2,flup,8,28,N,34,BA,porkka,5,14,39,42,22
124,2,flup,6,28,N,102,M,porkka,10,7,39,42,22
131,2,control,8,28,N,63,BA,porkka,6,7,39,42,22
127,2,sivanto,7,28,N,28,WA,porkka,7,14,39,42,22
143,2,sivanto,8,28,N,24,BA,porkka,7,7,39,42,22
42,4,sivanto,13,14,N,19,WA,porkka,14,23,67,69,10
39,4,control,13,14,N,34,WA,porkka,20,27,68,70,9
79,4,control,15,14,N,35,BG,porkka,10,17,58,60,19
84,4,sivanto,15,14,N,28,BG,porkka,7,17,58,60,19
134,4,flup,13,14,N,52,WA,porkka,15,7,55,57,22
163,4,sivanto,14,14,N,22,BA,porkka,10,9,50,52,27
176,4,sivanto,16,14,N,19,M,porkka,5,9,50,52,27
194,4,flup,14,14,N,34,BA,porkka,16,11,47,49,30
214,4,control,16,14,N,26,M,porkka,8,24,47,49,30
248,4,control,14,14,N,40,BA,bee_room,8,20,42,44,35
237,4,flup,15,14,N,51,BG,bee_room,9,20,42,44,35
229,4,flup,16,14,N,38,M,bee_room,8,20,42,44,35
75,5,control,20,14,N,17,BG,porkka,8,17,58,60,19
118,5,control,18,14,N,52,WA,porkka,13,7,55,57,22
135,5,sivanto,19,14,N,28,BA,porkka,9,25,55,57,22
140,5,flup,18,14,N,58,WA,porkka,16,7,55,57,22
191,5,flup,17,14,N,57,M,porkka,16,9,50,52,27
216,5,control,17,14,N,64,M,porkka,23,6,47,49,30
250,5,sivanto,20,14,N,28,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,14,N,75,M,bee_room,23,6,40,42,37
315,5,flup,20,14,N,44,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,14,N,48,WA,bee_room,15,12,41,43,36
277,5,control,19,14,N,59,BA,bee_room,11,18,40,42,37
300,5,flup,19,14,N,44,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,35,N,60,M,porkka,20,18,33,52,10
7,1,sivanto,2,35,N,82,WA,porkka,19,11,42,61,1
34,1,control,1,35,N,74,M,porkka,28,10,38,53,9
17,1,flup,2,35,N,10,WA,porkka,15,11,49,61,1
117,1,flup,3,35,N,32,BA,porkka,14,7,28,40,22
8,1,control,2,35,N,113,WA,porkka,17,11,49,61,1
185,1,control,3,35,N,74,BA,porkka,8,9,27,35,27
57,1,flup,1,35,n/a,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,35,N,48,BA,porkka,11,11,56,61,1
171,1,sivanto,4,35,N,47,BG,porkka,6,9,30,35,27
177,1,flup,4,35,N,77,BG,porkka,6,9,34,35,27
116,1,control,4,35,N,41,BG,porkka,7,7,39,40,22
198,3,flup,12,28,N,65,WA,porkka,6,11,39,40,30
83,3,sivanto,11,28,N,76,M,porkka,7,28,50,51,19
159,3,sivanto,10,28,N,89,BG,porkka,9,9,42,43,27
77,3,flup,11,28,N,79,M,porkka,6,24,50,51,19
105,3,control,9,28,N,89,BA,porkka,10,9,49,50,20
181,3,flup,9,28,N,73,BA,porkka,14,9,42,43,27
72,3,control,12,28,N,12,WA,porkka,5,17,50,51,19
197,3,sivanto,9,28,N,109,BA,porkka,11,6,32,40,30
174,3,sivanto,12,28,N,29,WA,porkka,6,9,42,43,27
203,3,control,11,28,N,78,M,porkka,7,24,39,40,30
123,3,flup,10,28,N,30,BG,porkka,9,7,47,48,22
4,3,control,10,28,N,22,BG,porkka,10,11,68,69,1
96,2,control,5,35,N,18,BG,porkka,10,8,41,44,20
76,2,sivanto,5,35,N,73,BG,porkka,19,9,42,45,19
46,2,flup,5,35,N,60,BG,porkka,10,18,51,54,10
104,2,sivanto,6,35,N,64,M,porkka,8,9,41,44,20
87,2,control,6,35,N,28,M,porkka,8,8,41,44,20
33,2,control,7,35,N,41,WA,porkka,7,10,52,55,9
170,2,flup,7,35,N,57,WA,porkka,7,9,34,37,27
119,2,flup,8,35,N,47,BA,porkka,5,14,39,42,22
124,2,flup,6,35,N,121,M,porkka,10,7,39,42,22
131,2,control,8,35,N,73,BA,porkka,6,7,39,42,22
127,2,sivanto,7,35,N,32,WA,porkka,7,14,39,42,22
143,2,sivanto,8,35,N,9,BA,porkka,7,7,39,42,22
42,4,sivanto,13,21,N,20,WA,porkka,14,23,67,69,10
39,4,control,13,21,N,69,WA,porkka,20,27,68,70,9
79,4,control,15,21,N,19,BG,porkka,10,17,58,60,19
84,4,sivanto,15,21,N,46,BG,porkka,7,17,58,60,19
134,4,flup,13,21,N,70,WA,porkka,15,7,55,57,22
163,4,sivanto,14,21,N,20,BA,porkka,10,9,50,52,27
176,4,sivanto,16,21,N,25,M,porkka,5,9,50,52,27
194,4,flup,14,21,N,62,BA,porkka,16,11,47,49,30
214,4,control,16,21,N,33,M,porkka,8,24,47,49,30
248,4,control,14,21,N,89,BA,bee_room,8,20,42,44,35
237,4,flup,15,21,N,97,BG,bee_room,9,20,42,44,35
229,4,flup,16,21,N,47,M,bee_room,8,20,42,44,35
75,5,control,20,21,N,15,BG,porkka,8,17,58,60,19
118,5,control,18,21,N,96,WA,porkka,13,7,55,57,22
135,5,sivanto,19,21,N,62,BA,porkka,9,25,55,57,22
140,5,flup,18,21,N,92,WA,porkka,16,7,55,57,22
191,5,flup,17,21,N,85,M,porkka,16,9,50,52,27
