colony_number,block,treatment,triad,experiment_census_day,wax_moth,worker_number,campus_location,rearing_location,number_of_workers_at_exposure_start,time_to_egg_laying,time_to_6_workers,time_to_exposure_start,queen_capture_day
216,5,control,17,21,N,94,M,porkka,23,6,47,49,30
250,5,sivanto,20,21,N,58,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,21,N,91,M,bee_room,23,6,40,42,37
315,5,flup,20,21,N,99,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,21,N,43,WA,bee_room,15,12,41,43,36
277,5,control,19,21,N,115,BA,bee_room,11,18,40,42,37
300,5,flup,19,21,N,68,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,42,N,28,M,porkka,20,18,33,52,10
7,1,sivanto,2,42,N,71,WA,porkka,19,11,42,61,1
34,1,control,1,42,N,51,M,porkka,28,10,38,53,9
17,1,flup,2,42,N,0,WA,porkka,15,11,49,61,1
117,1,flup,3,42,N,15,BA,porkka,14,7,28,40,22
8,1,control,2,42,N,85,WA,porkka,17,11,49,61,1
185,1,control,3,42,N,35,BA,porkka,8,9,27,35,27
57,1,flup,1,42,n/a,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,42,N,29,BA,porkka,11,11,56,61,1
171,1,sivanto,4,42,N,35,BG,porkka,6,9,30,35,27
177,1,flup,4,42,N,65,BG,porkka,6,9,34,35,27
116,1,control,4,42,N,26,BG,porkka,7,7,39,40,22
198,3,flup,12,35,N,50,WA,porkka,6,11,39,40,30
83,3,sivanto,11,35,N,106,M,porkka,7,28,50,51,19
159,3,sivanto,10,35,N,78,BG,porkka,9,9,42,43,27
77,3,flup,11,35,N,59,M,porkka,6,24,50,51,19
105,3,control,9,35,N,85,BA,porkka,10,9,49,50,20
181,3,flup,9,35,N,48,BA,porkka,14,9,42,43,27
72,3,control,12,35,N,12,WA,porkka,5,17,50,51,19
197,3,sivanto,9,35,N,135,BA,porkka,11,6,32,40,30
174,3,sivanto,12,35,N,27,WA,porkka,6,9,42,43,27
203,3,control,11,35,N,80,M,porkka,7,24,39,40,30
123,3,flup,10,35,N,22,BG,porkka,9,7,47,48,22
4,3,control,10,35,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,42,N,7,BG,porkka,10,8,41,44,20
76,2,sivanto,5,42,N,37,BG,porkka,19,9,42,45,19
46,2,flup,5,42,N,49,BG,porkka,10,18,51,54,10
104,2,sivanto,6,42,N,50,M,porkka,8,9,41,44,20
87,2,control,6,42,N,16,M,porkka,8,8,41,44,20
33,2,control,7,42,N,23,WA,porkka,7,10,52,55,9
170,2,flup,7,42,N,32,WA,porkka,7,9,34,37,27
119,2,flup,8,42,N,39,BA,porkka,5,14,39,42,22
124,2,flup,6,42,N,80,M,porkka,10,7,39,42,22
131,2,control,8,42,N,48,BA,porkka,6,7,39,42,22
127,2,sivanto,7,42,N,36,WA,porkka,7,14,39,42,22
143,2,sivanto,8,42,N,1,BA,porkka,7,7,39,42,22
42,4,sivanto,13,28,N,12,WA,porkka,14,23,67,69,10
39,4,control,13,28,N,54,WA,porkka,20,27,68,70,9
79,4,control,15,28,N,14,BG,porkka,10,17,58,60,19
84,4,sivanto,15,28,N,27,BG,porkka,7,17,58,60,19
134,4,flup,13,28,N,97,WA,porkka,15,7,55,57,22
163,4,sivanto,14,28,N,10,BA,porkka,10,9,50,52,27
176,4,sivanto,16,28,N,23,M,porkka,5,9,50,52,27
194,4,flup,14,28,N,42,BA,porkka,16,11,47,49,30
214,4,control,16,28,N,30,M,porkka,8,24,47,49,30
248,4,control,14,28,N,63,BA,bee_room,8,20,42,44,35
237,4,flup,15,28,N,83,BG,bee_room,9,20,42,44,35
229,4,flup,16,28,N,46,M,bee_room,8,20,42,44,35
75,5,control,20,28,N,11,BG,porkka,8,17,58,60,19
118,5,control,18,28,N,64,WA,porkka,13,7,55,57,22
135,5,sivanto,19,28,N,41,BA,porkka,9,25,55,57,22
140,5,flup,18,28,N,69,WA,porkka,16,7,55,57,22
191,5,flup,17,28,N,87,M,porkka,16,9,50,52,27
216,5,control,17,28,N,100,M,porkka,23,6,47,49,30
250,5,sivanto,20,28,N,59,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,28,N,111,M,bee_room,23,6,40,42,37
315,5,flup,20,28,N,58,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,28,N,20,WA,bee_room,15,12,41,43,36
277,5,control,19,28,N,72,BA,bee_room,11,18,40,42,37
300,5,flup,19,28,N,54,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,49,N,14,M,porkka,20,18,33,52,10
7,1,sivanto,2,49,N,45,WA,porkka,19,11,42,61,1
34,1,control,1,49,N,20,M,porkka,28,10,38,53,9
17,1,flup,2,49,N,0,WA,porkka,15,11,49,61,1
117,1,flup,3,49,N,12,BA,porkka,14,7,28,40,22
8,1,control,2,49,N,51,WA,porkka,17,11,49,61,1
185,1,control,3,49,N,15,BA,porkka,8,9,27,35,27
57,1,flup,1,49,n/a,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,49,N,16,BA,porkka,11,11,56,61,1
171,1,sivanto,4,49,N,16,BG,porkka,6,9,30,35,27
177,1,flup,4,49,N,33,BG,porkka,6,9,34,35,27
116,1,control,4,49,N,19,BG,porkka,7,7,39,40,22
198,3,flup,12,42,N,45,WA,porkka,6,11,39,40,30
83,3,sivanto,11,42,N,57,M,porkka,7,28,50,51,19
159,3,sivanto,10,42,N,48,BG,porkka,9,9,42,43,27
77,3,flup,11,42,N,30,M,porkka,6,24,50,51,19
105,3,control,9,42,N,64,BA,porkka,10,9,49,50,20
181,3,flup,9,42,N,23,BA,porkka,14,9,42,43,27
72,3,control,12,42,N,11,WA,porkka,5,17,50,51,19
197,3,sivanto,9,42,N,74,BA,porkka,11,6,32,40,30
174,3,sivanto,12,42,N,28,WA,porkka,6,9,42,43,27
203,3,control,11,42,N,68,M,porkka,7,24,39,40,30
123,3,flup,10,42,N,16,BG,porkka,9,7,47,48,22
4,3,control,10,42,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,49,N,1,BG,porkka,10,8,41,44,20
76,2,sivanto,5,49,N,23,BG,porkka,19,9,42,45,19
46,2,flup,5,49,N,33,BG,porkka,10,18,51,54,10
104,2,sivanto,6,49,N,26,M,porkka,8,9,41,44,20
87,2,control,6,49,N,2,M,porkka,8,8,41,44,20
33,2,control,7,49,N,13,WA,porkka,7,10,52,55,9
170,2,flup,7,49,N,17,WA,porkka,7,9,34,37,27
119,2,flup,8,49,N,27,BA,porkka,5,14,39,42,22
124,2,flup,6,49,N,43,M,porkka,10,7,39,42,22
131,2,control,8,49,N,35,BA,porkka,6,7,39,42,22
127,2,sivanto,7,49,N,22,WA,porkka,7,14,39,42,22
143,2,sivanto,8,49,N,0,BA,porkka,7,7,39,42,22
42,4,sivanto,13,35,N,7,WA,porkka,14,23,67,69,10
39,4,control,13,35,N,46,WA,porkka,20,27,68,70,9
79,4,control,15,35,N,9,BG,porkka,10,17,58,60,19
84,4,sivanto,15,35,N,12,BG,porkka,7,17,58,60,19
134,4,flup,13,35,N,74,WA,porkka,15,7,55,57,22
163,4,sivanto,14,35,N,6,BA,porkka,10,9,50,52,27
176,4,sivanto,16,35,N,28,M,porkka,5,9,50,52,27
194,4,flup,14,35,N,33,BA,porkka,16,11,47,49,30
214,4,control,16,35,N,19,M,porkka,8,24,47,49,30
248,4,control,14,35,N,79,BA,bee_room,8,20,42,44,35
237,4,flup,15,35,N,55,BG,bee_room,9,20,42,44,35
229,4,flup,16,35,N,31,M,bee_room,8,20,42,44,35
75,5,control,20,35,N,7,BG,porkka,8,17,58,60,19
118,5,control,18,35,N,43,WA,porkka,13,7,55,57,22
135,5,sivanto,19,35,N,35,BA,porkka,9,25,55,57,22
140,5,flup,18,35,N,51,WA,porkka,16,7,55,57,22
191,5,flup,17,35,N,64,M,porkka,16,9,50,52,27
216,5,control,17,35,N,78,M,porkka,23,6,47,49,30
250,5,sivanto,20,35,N,37,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,35,N,100,M,bee_room,23,6,40,42,37
315,5,flup,20,35,N,52,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,35,N,16,WA,bee_room,15,12,41,43,36
277,5,control,19,35,N,45,BA,bee_room,11,18,40,42,37
300,5,flup,19,35,N,24,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,56,N,6,M,porkka,20,18,33,52,10
7,1,sivanto,2,56,N,24,WA,porkka,19,11,42,61,1
34,1,control,1,56,N,7,M,porkka,28,10,38,53,9
17,1,flup,2,56,N,0,WA,porkka,15,11,49,61,1
117,1,flup,3,56,N,0,BA,porkka,14,7,28,40,22
8,1,control,2,56,N,36,WA,porkka,17,11,49,61,1
185,1,control,3,56,N,7,BA,porkka,8,9,27,35,27
57,1,flup,1,56,n/a,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,56,N,9,BA,porkka,11,11,56,61,1
171,1,sivanto,4,56,N,9,BG,porkka,6,9,30,35,27
177,1,flup,4,56,N,18,BG,porkka,6,9,34,35,27
116,1,control,4,56,N,9,BG,porkka,7,7,39,40,22
198,3,flup,12,49,N,68,WA,porkka,6,11,39,40,30
83,3,sivanto,11,49,N,28,M,porkka,7,28,50,51,19
159,3,sivanto,10,49,N,31,BG,porkka,9,9,42,43,27
77,3,flup,11,49,N,8,M,porkka,6,24,50,51,19
105,3,control,9,49,N,38,BA,porkka,10,9,49,50,20
181,3,flup,9,49,N,12,BA,porkka,14,9,42,43,27
72,3,control,12,49,N,7,WA,porkka,5,17,50,51,19
197,3,sivanto,9,49,N,47,BA,porkka,11,6,32,40,30
174,3,sivanto,12,49,N,11,WA,porkka,6,9,42,43,27
203,3,control,11,49,N,49,M,porkka,7,24,39,40,30
123,3,flup,10,49,N,10,BG,porkka,9,7,47,48,22
4,3,control,10,49,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,56,N,0,BG,porkka,10,8,41,44,20
76,2,sivanto,5,56,N,10,BG,porkka,19,9,42,45,19
46,2,flup,5,56,N,21,BG,porkka,10,18,51,54,10
104,2,sivanto,6,56,N,13,M,porkka,8,9,41,44,20
87,2,control,6,56,N,0,M,porkka,8,8,41,44,20
33,2,control,7,56,N,10,WA,porkka,7,10,52,55,9
170,2,flup,7,56,N,7,WA,porkka,7,9,34,37,27
119,2,flup,8,56,N,21,BA,porkka,5,14,39,42,22
124,2,flup,6,56,N,30,M,porkka,10,7,39,42,22
131,2,control,8,56,N,26,BA,porkka,6,7,39,42,22
127,2,sivanto,7,56,N,18,WA,porkka,7,14,39,42,22
143,2,sivanto,8,56,N,0,BA,porkka,7,7,39,42,22
42,4,sivanto,13,42,N,3,WA,porkka,14,23,67,69,10
39,4,control,13,42,N,29,WA,porkka,20,27,68,70,9
79,4,control,15,42,N,1,BG,porkka,10,17,58,60,19
84,4,sivanto,15,42,N,0,BG,porkka,7,17,58,60,19
134,4,flup,13,42,N,55,WA,porkka,15,7,55,57,22
163,4,sivanto,14,42,N,3,BA,porkka,10,9,50,52,27
176,4,sivanto,16,42,N,29,M,porkka,5,9,50,52,27
194,4,flup,14,42,N,19,BA,porkka,16,11,47,49,30
214,4,control,16,42,N,32,M,porkka,8,24,47,49,30
248,4,control,14,42,N,46,BA,bee_room,8,20,42,44,35
237,4,flup,15,42,N,30,BG,bee_room,9,20,42,44,35
229,4,flup,16,42,N,15,M,bee_room,8,20,42,44,35
75,5,control,20,42,N,4,BG,porkka,8,17,58,60,19
118,5,control,18,42,N,35,WA,porkka,13,7,55,57,22
135,5,sivanto,19,42,N,33,BA,porkka,9,25,55,57,22
140,5,flup,18,42,N,45,WA,porkka,16,7,55,57,22
191,5,flup,17,42,N,39,M,porkka,16,9,50,52,27
216,5,control,17,42,N,57,M,porkka,23,6,47,49,30
250,5,sivanto,20,42,N,29,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,42,N,66,M,bee_room,23,6,40,42,37
315,5,flup,20,42,N,50,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,42,N,4,WA,bee_room,15,12,41,43,36
277,5,control,19,42,N,34,BA,bee_room,11,18,40,42,37
300,5,flup,19,42,N,21,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,63,N,0,M,porkka,20,18,33,52,10
7,1,sivanto,2,63,N,17,WA,porkka,19,11,42,61,1
34,1,control,1,63,N,0,M,porkka,28,10,38,53,9
17,1,flup,2,63,N,0,WA,porkka,15,11,49,61,1
117,1,flup,3,63,N,0,BA,porkka,14,7,28,40,22
8,1,control,2,63,N,24,WA,porkka,17,11,49,61,1
185,1,control,3,63,N,4,BA,porkka,8,9,27,35,27
57,1,flup,1,63,n/a,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,63,N,0,BA,porkka,11,11,56,61,1
171,1,sivanto,4,63,N,7,BG,porkka,6,9,30,35,27
177,1,flup,4,63,N,12,BG,porkka,6,9,34,35,27
116,1,control,4,63,N,1,BG,porkka,7,7,39,40,22
198,3,flup,12,56,N,60,WA,porkka,6,11,39,40,30
83,3,sivanto,11,56,N,20,M,porkka,7,28,50,51,19
159,3,sivanto,10,56,N,23,BG,porkka,9,9,42,43,27
77,3,flup,11,56,N,3,M,porkka,6,24,50,51,19
105,3,control,9,56,N,33,BA,porkka,10,9,49,50,20
181,3,flup,9,56,N,3,BA,porkka,14,9,42,43,27
72,3,control,12,56,N,2,WA,porkka,5,17,50,51,19
197,3,sivanto,9,56,Y,60,BA,porkka,11,6,32,40,30
174,3,sivanto,12,56,N,12,WA,porkka,6,9,42,43,27
203,3,control,11,56,N,43,M,porkka,7,24,39,40,30
123,3,flup,10,56,N,2,BG,porkka,9,7,47,48,22
4,3,control,10,56,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,63,N,0,BG,porkka,10,8,41,44,20
76,2,sivanto,5,63,N,4,BG,porkka,19,9,42,45,19
46,2,flup,5,63,N,13,BG,porkka,10,18,51,54,10
104,2,sivanto,6,63,N,9,M,porkka,8,9,41,44,20
87,2,control,6,63,N,0,M,porkka,8,8,41,44,20
33,2,control,7,63,N,4,WA,porkka,7,10,52,55,9
170,2,flup,7,63,N,1,WA,porkka,7,9,34,37,27
119,2,flup,8,63,N,18,BA,porkka,5,14,39,42,22
124,2,flup,6,63,N,19,M,porkka,10,7,39,42,22
131,2,control,8,63,N,21,BA,porkka,6,7,39,42,22
127,2,sivanto,7,63,N,14,WA,porkka,7,14,39,42,22
143,2,sivanto,8,63,N,0,BA,porkka,7,7,39,42,22
42,4,sivanto,13,49,N,0,WA,porkka,14,23,67,69,10
39,4,control,13,49,Y,17,WA,porkka,20,27,68,70,9
79,4,control,15,49,N,0,BG,porkka,10,17,58,60,19
84,4,sivanto,15,49,N,0,BG,porkka,7,17,58,60,19
134,4,flup,13,49,N,43,WA,porkka,15,7,55,57,22
163,4,sivanto,14,49,N,1,BA,porkka,10,9,50,52,27
176,4,sivanto,16,49,N,32,M,porkka,5,9,50,52,27
194,4,flup,14,49,Y,10,BA,porkka,16,11,47,49,30
214,4,control,16,49,N,42,M,porkka,8,24,47,49,30
248,4,control,14,49,N,36,BA,bee_room,8,20,42,44,35
237,4,flup,15,49,N,25,BG,bee_room,9,20,42,44,35
229,4,flup,16,49,N,17,M,bee_room,8,20,42,44,35
75,5,control,20,49,N,1,BG,porkka,8,17,58,60,19
118,5,control,18,49,N,29,WA,porkka,13,7,55,57,22
135,5,sivanto,19,49,Y,23,BA,porkka,9,25,55,57,22
140,5,flup,18,49,N,32,WA,porkka,16,7,55,57,22
191,5,flup,17,49,Y,42,M,porkka,16,9,50,52,27
216,5,control,17,49,Y,49,M,porkka,23,6,47,49,30
250,5,sivanto,20,49,N,20,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,49,N,39,M,bee_room,23,6,40,42,37
315,5,flup,20,49,Y,33,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,49,N,2,WA,bee_room,15,12,41,43,36
277,5,control,19,49,N,24,BA,bee_room,11,18,40,42,37
300,5,flup,19,49,Y,14,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,70,N,0,M,porkka,20,18,33,52,10
7,1,sivanto,2,70,N,14,WA,porkka,19,11,42,61,1
34,1,control,1,70,N,0,M,porkka,28,10,38,53,9
17,1,flup,2,70,N,0,WA,porkka,15,11,49,61,1
117,1,flup,3,70,N,0,BA,porkka,14,7,28,40,22
8,1,control,2,70,N,14,WA,porkka,17,11,49,61,1
185,1,control,3,70,N,4,BA,porkka,8,9,27,35,27
57,1,flup,1,70,n/a,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,70,N,0,BA,porkka,11,11,56,61,1
171,1,sivanto,4,70,N,5,BG,porkka,6,9,30,35,27
177,1,flup,4,70,N,9,BG,porkka,6,9,34,35,27
116,1,control,4,70,N,0,BG,porkka,7,7,39,40,22
198,3,flup,12,63,N,61,WA,porkka,6,11,39,40,30
83,3,sivanto,11,63,N,10,M,porkka,7,28,50,51,19
159,3,sivanto,10,63,N,19,BG,porkka,9,9,42,43,27
77,3,flup,11,63,N,0,M,porkka,6,24,50,51,19
105,3,control,9,63,N,23,BA,porkka,10,9,49,50,20
181,3,flup,9,63,N,0,BA,porkka,14,9,42,43,27
72,3,control,12,63,N,0,WA,porkka,5,17,50,51,19
197,3,sivanto,9,63,Y,40,BA,porkka,11,6,32,40,30
174,3,sivanto,12,63,N,7,WA,porkka,6,9,42,43,27
203,3,control,11,63,N,27,M,porkka,7,24,39,40,30
123,3,flup,10,63,N,0,BG,porkka,9,7,47,48,22
4,3,control,10,63,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,70,N,0,BG,porkka,10,8,41,44,20
76,2,sivanto,5,70,N,2,BG,porkka,19,9,42,45,19
46,2,flup,5,70,N,9,BG,porkka,10,18,51,54,10
104,2,sivanto,6,70,N,6,M,porkka,8,9,41,44,20
87,2,control,6,70,N,0,M,porkka,8,8,41,44,20
33,2,control,7,70,N,2,WA,porkka,7,10,52,55,9
170,2,flup,7,70,N,0,WA,porkka,7,9,34,37,27
119,2,flup,8,70,N,18,BA,porkka,5,14,39,42,22
124,2,flup,6,70,N,16,M,porkka,10,7,39,42,22
131,2,control,8,70,N,8,BA,porkka,6,7,39,42,22
127,2,sivanto,7,70,Y,11,WA,porkka,7,14,39,42,22
143,2,sivanto,8,70,N,0,BA,porkka,7,7,39,42,22
42,4,sivanto,13,56,N,0,WA,porkka,14,23,67,69,10
39,4,control,13,56,Y,11,WA,porkka,20,27,68,70,9
79,4,control,15,56,N,0,BG,porkka,10,17,58,60,19
84,4,sivanto,15,56,N,0,BG,porkka,7,17,58,60,19
134,4,flup,13,56,N,40,WA,porkka,15,7,55,57,22
163,4,sivanto,14,56,N,1,BA,porkka,10,9,50,52,27
176,4,sivanto,16,56,N,42,M,porkka,5,9,50,52,27
194,4,flup,14,56,Y,4,BA,porkka,16,11,47,49,30
214,4,control,16,56,N,32,M,porkka,8,24,47,49,30
248,4,control,14,56,N,24,BA,bee_room,8,20,42,44,35
237,4,flup,15,56,N,18,BG,bee_room,9,20,42,44,35
229,4,flup,16,56,Y,9,M,bee_room,8,20,42,44,35
