colony_number,block,treatment,triad,experiment_census_day,wax_moth,worker_number,campus_location,rearing_location,number_of_workers_at_exposure_start,time_to_egg_laying,time_to_6_workers,time_to_exposure_start,queen_capture_day
75,5,control,20,56,N,0,BG,porkka,8,17,58,60,19
118,5,control,18,56,N,17,WA,porkka,13,7,55,57,22
135,5,sivanto,19,56,Y,7,BA,porkka,9,25,55,57,22
140,5,flup,18,56,N,24,WA,porkka,16,7,55,57,22
191,5,flup,17,56,Y,32,M,porkka,16,9,50,52,27
216,5,control,17,56,Y,40,M,porkka,23,6,47,49,30
250,5,sivanto,20,56,N,9,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,56,N,30,M,bee_room,23,6,40,42,37
315,5,flup,20,56,Y,28,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,56,N,1,WA,bee_room,15,12,41,43,36
277,5,control,19,56,N,12,BA,bee_room,11,18,40,42,37
300,5,flup,19,56,Y,1,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,77,N,0,M,porkka,20,18,33,52,10
7,1,sivanto,2,77,N,8,WA,porkka,19,11,42,61,1
34,1,control,1,77,N,0,M,porkka,28,10,38,53,9
17,1,flup,2,77,N,0,WA,porkka,15,11,49,61,1
117,1,flup,3,77,N,0,BA,porkka,14,7,28,40,22
8,1,control,2,77,N,0,WA,porkka,17,11,49,61,1
185,1,control,3,77,N,1,BA,porkka,8,9,27,35,27
57,1,flup,1,77,n/a,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,77,N,0,BA,porkka,11,11,56,61,1
171,1,sivanto,4,77,N,1,BG,porkka,6,9,30,35,27
177,1,flup,4,77,N,0,BG,porkka,6,9,34,35,27
116,1,control,4,77,N,0,BG,porkka,7,7,39,40,22
198,3,flup,12,70,N,53,WA,porkka,6,11,39,40,30
83,3,sivanto,11,70,N,6,M,porkka,7,28,50,51,19
159,3,sivanto,10,70,N,10,BG,porkka,9,9,42,43,27
77,3,flup,11,70,N,0,M,porkka,6,24,50,51,19
105,3,control,9,70,N,21,BA,porkka,10,9,49,50,20
181,3,flup,9,70,N,0,BA,porkka,14,9,42,43,27
72,3,control,12,70,N,0,WA,porkka,5,17,50,51,19
197,3,sivanto,9,70,Y,40,BA,porkka,11,6,32,40,30
174,3,sivanto,12,70,N,4,WA,porkka,6,9,42,43,27
203,3,control,11,70,N,20,M,porkka,7,24,39,40,30
123,3,flup,10,70,N,0,BG,porkka,9,7,47,48,22
4,3,control,10,70,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,77,N,0,BG,porkka,10,8,41,44,20
76,2,sivanto,5,77,N,0,BG,porkka,19,9,42,45,19
46,2,flup,5,77,N,2,BG,porkka,10,18,51,54,10
104,2,sivanto,6,77,N,3,M,porkka,8,9,41,44,20
87,2,control,6,77,N,0,M,porkka,8,8,41,44,20
33,2,control,7,77,N,0,WA,porkka,7,10,52,55,9
170,2,flup,7,77,N,0,WA,porkka,7,9,34,37,27
119,2,flup,8,77,N,14,BA,porkka,5,14,39,42,22
124,2,flup,6,77,N,12,M,porkka,10,7,39,42,22
131,2,control,8,77,N,5,BA,porkka,6,7,39,42,22
127,2,sivanto,7,77,Y,7,WA,porkka,7,14,39,42,22
143,2,sivanto,8,77,N,0,BA,porkka,7,7,39,42,22
42,4,sivanto,13,63,N,0,WA,porkka,14,23,67,69,10
39,4,control,13,63,Y,0,WA,porkka,20,27,68,70,9
79,4,control,15,63,N,0,BG,porkka,10,17,58,60,19
84,4,sivanto,15,63,N,0,BG,porkka,7,17,58,60,19
134,4,flup,13,63,N,26,WA,porkka,15,7,55,57,22
163,4,sivanto,14,63,N,0,BA,porkka,10,9,50,52,27
176,4,sivanto,16,63,N,39,M,porkka,5,9,50,52,27
194,4,flup,14,63,Y,4,BA,porkka,16,11,47,49,30
214,4,control,16,63,N,22,M,porkka,8,24,47,49,30
248,4,control,14,63,N,13,BA,bee_room,8,20,42,44,35
237,4,flup,15,63,N,12,BG,bee_room,9,20,42,44,35
229,4,flup,16,63,N,0,M,bee_room,8,20,42,44,35
75,5,control,20,63,N,0,BG,porkka,8,17,58,60,19
118,5,control,18,63,N,7,WA,porkka,13,7,55,57,22
135,5,sivanto,19,63,Y,4,BA,porkka,9,25,55,57,22
140,5,flup,18,63,N,16,WA,porkka,16,7,55,57,22
191,5,flup,17,63,Y,15,M,porkka,16,9,50,52,27
216,5,control,17,63,Y,16,M,porkka,23,6,47,49,30
250,5,sivanto,20,63,N,2,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,63,N,7,M,bee_room,23,6,40,42,37
315,5,flup,20,63,Y,13,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,63,N,0,WA,bee_room,15,12,41,43,36
277,5,control,19,63,N,4,BA,bee_room,11,18,40,42,37
300,5,flup,19,63,N,0,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,84,N,0,M,porkka,20,18,33,52,10
7,1,sivanto,2,84,N,4,WA,porkka,19,11,42,61,1
34,1,control,1,84,N,0,M,porkka,28,10,38,53,9
17,1,flup,2,84,N,0,WA,porkka,15,11,49,61,1
117,1,flup,3,84,N,0,BA,porkka,14,7,28,40,22
8,1,control,2,84,N,0,WA,porkka,17,11,49,61,1
185,1,control,3,84,N,0,BA,porkka,8,9,27,35,27
57,1,flup,1,84,n/a,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,84,N,0,BA,porkka,11,11,56,61,1
171,1,sivanto,4,84,N,0,BG,porkka,6,9,30,35,27
177,1,flup,4,84,N,0,BG,porkka,6,9,34,35,27
116,1,control,4,84,N,0,BG,porkka,7,7,39,40,22
198,3,flup,12,77,N,45,WA,porkka,6,11,39,40,30
83,3,sivanto,11,77,N,0,M,porkka,7,28,50,51,19
159,3,sivanto,10,77,N,3,BG,porkka,9,9,42,43,27
77,3,flup,11,77,N,0,M,porkka,6,24,50,51,19
105,3,control,9,77,N,6,BA,porkka,10,9,49,50,20
181,3,flup,9,77,N,0,BA,porkka,14,9,42,43,27
72,3,control,12,77,N,0,WA,porkka,5,17,50,51,19
197,3,sivanto,9,77,Y,16,BA,porkka,11,6,32,40,30
174,3,sivanto,12,77,N,0,WA,porkka,6,9,42,43,27
203,3,control,11,77,N,19,M,porkka,7,24,39,40,30
123,3,flup,10,77,N,0,BG,porkka,9,7,47,48,22
4,3,control,10,77,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,84,N,0,BG,porkka,10,8,41,44,20
76,2,sivanto,5,84,N,0,BG,porkka,19,9,42,45,19
46,2,flup,5,84,N,0,BG,porkka,10,18,51,54,10
104,2,sivanto,6,84,N,0,M,porkka,8,9,41,44,20
87,2,control,6,84,N,0,M,porkka,8,8,41,44,20
33,2,control,7,84,N,0,WA,porkka,7,10,52,55,9
170,2,flup,7,84,N,0,WA,porkka,7,9,34,37,27
119,2,flup,8,84,N,6,BA,porkka,5,14,39,42,22
124,2,flup,6,84,N,2,M,porkka,10,7,39,42,22
131,2,control,8,84,N,1,BA,porkka,6,7,39,42,22
127,2,sivanto,7,84,Y,2,WA,porkka,7,14,39,42,22
143,2,sivanto,8,84,N,0,BA,porkka,7,7,39,42,22
42,4,sivanto,13,70,N,0,WA,porkka,14,23,67,69,10
39,4,control,13,70,N,0,WA,porkka,20,27,68,70,9
79,4,control,15,70,N,0,BG,porkka,10,17,58,60,19
84,4,sivanto,15,70,N,0,BG,porkka,7,17,58,60,19
134,4,flup,13,70,N,18,WA,porkka,15,7,55,57,22
163,4,sivanto,14,70,N,0,BA,porkka,10,9,50,52,27
176,4,sivanto,16,70,N,29,M,porkka,5,9,50,52,27
194,4,flup,14,70,N,0,BA,porkka,16,11,47,49,30
214,4,control,16,70,N,17,M,porkka,8,24,47,49,30
248,4,control,14,70,N,6,BA,bee_room,8,20,42,44,35
237,4,flup,15,70,N,3,BG,bee_room,9,20,42,44,35
229,4,flup,16,70,N,0,M,bee_room,8,20,42,44,35
75,5,control,20,70,N,0,BG,porkka,8,17,58,60,19
118,5,control,18,70,N,0,WA,porkka,13,7,55,57,22
135,5,sivanto,19,70,Y,2,BA,porkka,9,25,55,57,22
140,5,flup,18,70,N,2,WA,porkka,16,7,55,57,22
191,5,flup,17,70,Y,3,M,porkka,16,9,50,52,27
216,5,control,17,70,Y,1,M,porkka,23,6,47,49,30
250,5,sivanto,20,70,N,0,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,70,N,0,M,bee_room,23,6,40,42,37
315,5,flup,20,70,Y,2,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,70,N,0,WA,bee_room,15,12,41,43,36
277,5,control,19,70,N,0,BA,bee_room,11,18,40,42,37
300,5,flup,19,70,N,0,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,91,N,0,M,porkka,20,18,33,52,10
7,1,sivanto,2,91,N,0,WA,porkka,19,11,42,61,1
34,1,control,1,91,N,0,M,porkka,28,10,38,53,9
17,1,flup,2,91,N,0,WA,porkka,15,11,49,61,1
117,1,flup,3,91,N,0,BA,porkka,14,7,28,40,22
8,1,control,2,91,N,0,WA,porkka,17,11,49,61,1
185,1,control,3,91,N,0,BA,porkka,8,9,27,35,27
57,1,flup,1,91,n/a,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,91,N,0,BA,porkka,11,11,56,61,1
171,1,sivanto,4,91,N,0,BG,porkka,6,9,30,35,27
177,1,flup,4,91,N,0,BG,porkka,6,9,34,35,27
116,1,control,4,91,N,0,BG,porkka,7,7,39,40,22
198,3,flup,12,84,N,18,WA,porkka,6,11,39,40,30
83,3,sivanto,11,84,N,0,M,porkka,7,28,50,51,19
159,3,sivanto,10,84,N,0,BG,porkka,9,9,42,43,27
77,3,flup,11,84,N,0,M,porkka,6,24,50,51,19
105,3,control,9,84,N,0,BA,porkka,10,9,49,50,20
181,3,flup,9,84,N,0,BA,porkka,14,9,42,43,27
72,3,control,12,84,N,0,WA,porkka,5,17,50,51,19
197,3,sivanto,9,84,Y,2,BA,porkka,11,6,32,40,30
174,3,sivanto,12,84,N,0,WA,porkka,6,9,42,43,27
203,3,control,11,84,N,6,M,porkka,7,24,39,40,30
123,3,flup,10,84,N,0,BG,porkka,9,7,47,48,22
4,3,control,10,84,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,91,N,0,BG,porkka,10,8,41,44,20
76,2,sivanto,5,91,N,0,BG,porkka,19,9,42,45,19
46,2,flup,5,91,N,0,BG,porkka,10,18,51,54,10
104,2,sivanto,6,91,N,0,M,porkka,8,9,41,44,20
87,2,control,6,91,N,0,M,porkka,8,8,41,44,20
33,2,control,7,91,N,0,WA,porkka,7,10,52,55,9
170,2,flup,7,91,N,0,WA,porkka,7,9,34,37,27
119,2,flup,8,91,N,0,BA,porkka,5,14,39,42,22
124,2,flup,6,91,N,0,M,porkka,10,7,39,42,22
131,2,control,8,91,N,0,BA,porkka,6,7,39,42,22
127,2,sivanto,7,91,N,0,WA,porkka,7,14,39,42,22
143,2,sivanto,8,91,N,0,BA,porkka,7,7,39,42,22
42,4,sivanto,13,77,N,0,WA,porkka,14,23,67,69,10
39,4,control,13,77,N,0,WA,porkka,20,27,68,70,9
79,4,control,15,77,N,0,BG,porkka,10,17,58,60,19
84,4,sivanto,15,77,N,0,BG,porkka,7,17,58,60,19
134,4,flup,13,77,N,8,WA,porkka,15,7,55,57,22
163,4,sivanto,14,77,N,0,BA,porkka,10,9,50,52,27
176,4,sivanto,16,77,N,20,M,porkka,5,9,50,52,27
194,4,flup,14,77,N,0,BA,porkka,16,11,47,49,30
214,4,control,16,77,N,15,M,porkka,8,24,47,49,30
248,4,control,14,77,N,0,BA,bee_room,8,20,42,44,35
237,4,flup,15,77,N,0,BG,bee_room,9,20,42,44,35
229,4,flup,16,77,N,0,M,bee_room,8,20,42,44,35
75,5,control,20,77,N,0,BG,porkka,8,17,58,60,19
118,5,control,18,77,N,0,WA,porkka,13,7,55,57,22
135,5,sivanto,19,77,N,0,BA,porkka,9,25,55,57,22
140,5,flup,18,77,N,0,WA,porkka,16,7,55,57,22
191,5,flup,17,77,N,0,M,porkka,16,9,50,52,27
216,5,control,17,77,N,0,M,porkka,23,6,47,49,30
250,5,sivanto,20,77,N,0,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,77,N,0,M,bee_room,23,6,40,42,37
315,5,flup,20,77,N,0,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,77,N,0,WA,bee_room,15,12,41,43,36
277,5,control,19,77,N,0,BA,bee_room,11,18,40,42,37
300,5,flup,19,77,N,0,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,98,N,0,M,porkka,20,18,33,52,10
7,1,sivanto,2,98,N,0,WA,porkka,19,11,42,61,1
34,1,control,1,98,N,0,M,porkka,28,10,38,53,9
17,1,flup,2,98,N,0,WA,porkka,15,11,49,61,1
117,1,flup,3,98,N,0,BA,porkka,14,7,28,40,22
8,1,control,2,98,N,0,WA,porkka,17,11,49,61,1
185,1,control,3,98,N,0,BA,porkka,8,9,27,35,27
57,1,flup,1,98,n/a,n/a,M,porkka,22,13,42,47,15
12,1,sivanto,3,98,N,0,BA,porkka,11,11,56,61,1
171,1,sivanto,4,98,N,0,BG,porkka,6,9,30,35,27
177,1,flup,4,98,N,0,BG,porkka,6,9,34,35,27
116,1,control,4,98,N,0,BG,porkka,7,7,39,40,22
198,3,flup,12,91,N,5,WA,porkka,6,11,39,40,30
83,3,sivanto,11,91,N,0,M,porkka,7,28,50,51,19
159,3,sivanto,10,91,N,0,BG,porkka,9,9,42,43,27
77,3,flup,11,91,N,0,M,porkka,6,24,50,51,19
105,3,control,9,91,N,0,BA,porkka,10,9,49,50,20
181,3,flup,9,91,N,0,BA,porkka,14,9,42,43,27
72,3,control,12,91,N,0,WA,porkka,5,17,50,51,19
197,3,sivanto,9,91,N,0,BA,porkka,11,6,32,40,30
174,3,sivanto,12,91,N,0,WA,porkka,6,9,42,43,27
203,3,control,11,91,N,0,M,porkka,7,24,39,40,30
123,3,flup,10,91,N,0,BG,porkka,9,7,47,48,22
4,3,control,10,91,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,98,N,0,BG,porkka,10,8,41,44,20
76,2,sivanto,5,98,N,0,BG,porkka,19,9,42,45,19
46,2,flup,5,98,N,0,BG,porkka,10,18,51,54,10
104,2,sivanto,6,98,N,0,M,porkka,8,9,41,44,20
87,2,control,6,98,N,0,M,porkka,8,8,41,44,20
33,2,control,7,98,N,0,WA,porkka,7,10,52,55,9
170,2,flup,7,98,N,0,WA,porkka,7,9,34,37,27
119,2,flup,8,98,N,0,BA,porkka,5,14,39,42,22
124,2,flup,6,98,N,0,M,porkka,10,7,39,42,22
131,2,control,8,98,N,0,BA,porkka,6,7,39,42,22
127,2,sivanto,7,98,N,0,WA,porkka,7,14,39,42,22
143,2,sivanto,8,98,N,0,BA,porkka,7,7,39,42,22
42,4,sivanto,13,84,N,0,WA,porkka,14,23,67,69,10
39,4,control,13,84,N,0,WA,porkka,20,27,68,70,9
79,4,control,15,84,N,0,BG,porkka,10,17,58,60,19
84,4,sivanto,15,84,N,0,BG,porkka,7,17,58,60,19
134,4,flup,13,84,N,0,WA,porkka,15,7,55,57,22
163,4,sivanto,14,84,N,0,BA,porkka,10,9,50,52,27
176,4,sivanto,16,84,N,6,M,porkka,5,9,50,52,27
194,4,flup,14,84,N,0,BA,porkka,16,11,47,49,30
214,4,control,16,84,N,9,M,porkka,8,24,47,49,30
248,4,control,14,84,N,0,BA,bee_room,8,20,42,44,35
237,4,flup,15,84,N,0,BG,bee_room,9,20,42,44,35
229,4,flup,16,84,N,0,M,bee_room,8,20,42,44,35
75,5,control,20,84,N,0,BG,porkka,8,17,58,60,19
118,5,control,18,84,N,0,WA,porkka,13,7,55,57,22
135,5,sivanto,19,84,N,0,BA,porkka,9,25,55,57,22
140,5,flup,18,84,N,0,WA,porkka,16,7,55,57,22
191,5,flup,17,84,N,0,M,porkka,16,9,50,52,27
216,5,control,17,84,N,0,M,porkka,23,6,47,49,30
250,5,sivanto,20,84,N,0,BG,bee_room,9,20,42,44,35
314,5,sivanto,17,84,N,0,M,bee_room,23,6,40,42,37
315,5,flup,20,84,N,0,BG,bee_room,7,11,40,42,37
264,5,sivanto,18,84,N,0,WA,bee_room,15,12,41,43,36
277,5,control,19,84,N,0,BA,bee_room,11,18,40,42,37
300,5,flup,19,84,N,0,BA,bee_room,11,11,40,42,37
51,1,sivanto,1,105,N,0,M,porkka,20,18,33,52,10
7,1,sivanto,2,105,N,0,WA,porkka,19,11,42,61,1
34,1,control,1,105,N,0,M,porkka,28,10,38,53,9
17,1,flup,2,105,N,0,WA,porkka,15,11,49,61,1
117,1,flup,3,105,N,0,BA,porkka,14,7,28,40,22
8,1,control,2,105,N,0,WA,porkka,17,11,49,61,1
185,1,control,3,105,N,0,BA,porkka,8,9,27,35,27
57,1,flup,1,105,N,0,M,porkka,22,13,42,47,15
12,1,sivanto,3,105,N,0,BA,porkka,11,11,56,61,1
171,1,sivanto,4,105,N,0,BG,porkka,6,9,30,35,27
177,1,flup,4,105,N,0,BG,porkka,6,9,34,35,27
116,1,control,4,105,N,0,BG,porkka,7,7,39,40,22
198,3,flup,12,98,N,0,WA,porkka,6,11,39,40,30
83,3,sivanto,11,98,N,0,M,porkka,7,28,50,51,19
159,3,sivanto,10,98,N,0,BG,porkka,9,9,42,43,27
77,3,flup,11,98,N,0,M,porkka,6,24,50,51,19
105,3,control,9,98,N,0,BA,porkka,10,9,49,50,20
181,3,flup,9,98,N,0,BA,porkka,14,9,42,43,27
72,3,control,12,98,N,0,WA,porkka,5,17,50,51,19
197,3,sivanto,9,98,N,0,BA,porkka,11,6,32,40,30
174,3,sivanto,12,98,N,0,WA,porkka,6,9,42,43,27
203,3,control,11,98,N,0,M,porkka,7,24,39,40,30
123,3,flup,10,98,N,0,BG,porkka,9,7,47,48,22
4,3,control,10,98,N,0,BG,porkka,10,11,68,69,1
96,2,control,5,105,N,0,BG,porkka,10,8,41,44,20
76,2,sivanto,5,105,N,0,BG,porkka,19,9,42,45,19
46,2,flup,5,105,N,0,BG,porkka,10,18,51,54,10
104,2,sivanto,6,105,N,0,M,porkka,8,9,41,44,20
87,2,control,6,105,N,0,M,porkka,8,8,41,44,20
33,2,control,7,105,N,0,WA,porkka,7,10,52,55,9
170,2,flup,7,105,N,0,WA,porkka,7,9,34,37,27
119,2,flup,8,105,N,0,BA,porkka,5,14,39,42,22
124,2,flup,6,105,N,0,M,porkka,10,7,39,42,22
131,2,control,8,105,N,0,BA,porkka,6,7,39,42,22
127,2,sivanto,7,105,N,0,WA,porkka,7,14,39,42,22
143,2,sivanto,8,105,N,0,BA,porkka,7,7,39,42,22
42,4,sivanto,13,91,N,0,WA,porkka,14,23,67,69,10
39,4,control,13,91,N,0,WA,porkka,20,27,68,70,9
79,4,control,15,91,N,0,BG,porkka,10,17,58,60,19
84,4,sivanto,15,91,N,0,BG,porkka,7,17,58,60,19
134,4,flup,13,91,N,0,WA,porkka,15,7,55,57,22
163,4,sivanto,14,91,N,0,BA,porkka,10,9,50,52,27
176,4,sivanto,16,91,N,0,M,porkka,5,9,50,52,27
194,4,flup,14,91,N,0,BA,porkka,16,11,47,49,30
214,4,control,16,91,N,0,M,porkka,8,24,47,49,30
248,4,control,14,91,N,0,BA,bee_room,8,20,42,44,35
237,4,flup,15,91,N,0,BG,bee_room,9,20,42,44,35
229,4,flup,16,91,N,0,M,bee_room,8,20,42,44,35
